scaff.tar	chr.tar
DPSCF300001	21
DPSCF300002	3
DPSCF300003	1
DPSCF300004	5
DPSCF300005	1
DPSCF300006	6
DPSCF300007	2
DPSCF300008	12
DPSCF300009	10
DPSCF300010	6
DPSCF300011	15
DPSCF300012	21
DPSCF300013	5
DPSCF300014	2
DPSCF300015	9
DPSCF300016	3
DPSCF300017	11
DPSCF300018	4
DPSCF300019	12
DPSCF300020	16
DPSCF300021	14
DPSCF300022	18
DPSCF300023	15
DPSCF300024	9
DPSCF300025	12
DPSCF300026	8
DPSCF300027	8
DPSCF300028	1
DPSCF300029	11
DPSCF300030	15
DPSCF300031	27
DPSCF300032	18
DPSCF300033	12
DPSCF300034	18
DPSCF300035	14
DPSCF300036	3
DPSCF300037	10
DPSCF300038	9
DPSCF300039	15
DPSCF300040	4
DPSCF300041	6
DPSCF300042	13
DPSCF300043	3
DPSCF300044	1
DPSCF300045	2
DPSCF300046	3
DPSCF300047	17
DPSCF300048	7
DPSCF300049	16
DPSCF300050	18
DPSCF300051	15
DPSCF300052	24
DPSCF300053	10
DPSCF300054	20
DPSCF300055	7
DPSCF300056	27
DPSCF300057	12
DPSCF300058	22
DPSCF300059	12
DPSCF300060	4
DPSCF300061	14
DPSCF300062	16
DPSCF300063	8
DPSCF300064	4
DPSCF300065	8
DPSCF300066	1
DPSCF300067	17
DPSCF300068	1
DPSCF300069	30
DPSCF300070	13
DPSCF300071	13
DPSCF300072	11
DPSCF300073	2
DPSCF300074	9
DPSCF300075	1
DPSCF300076	17
DPSCF300077	14
DPSCF300078	15
DPSCF300079	5
DPSCF300080	24
DPSCF300081	11
DPSCF300082	13
DPSCF300083	1
DPSCF300084	5
DPSCF300085	27
DPSCF300086	18
DPSCF300087	26
DPSCF300088	19
DPSCF300090	11
DPSCF300091	20
DPSCF300092	19
DPSCF300093	5
DPSCF300094	19
DPSCF300095	17
DPSCF300096	23
DPSCF300097	11
DPSCF300098	17
DPSCF300099	10
DPSCF300100	25
DPSCF300101	7
DPSCF300102	20
DPSCF300103	13
DPSCF300104	22
DPSCF300105	17
DPSCF300106	9
DPSCF300107	16
DPSCF300108	22
DPSCF300109	25
DPSCF300110	15
DPSCF300111	8
DPSCF300112	6
DPSCF300113	5
DPSCF300114	17
DPSCF300115	11
DPSCF300117	10
DPSCF300118	8
DPSCF300119	26
DPSCF300120	3
DPSCF300122	24
DPSCF300123	20
DPSCF300124	26
DPSCF300125	18
DPSCF300126	16
DPSCF300127	17
DPSCF300128	9
DPSCF300129	23
DPSCF300130	8
DPSCF300131	19
DPSCF300132	26
DPSCF300133	4
DPSCF300134	1
DPSCF300136	24
DPSCF300137	25
DPSCF300138	18
DPSCF300139	29
DPSCF300140	5
DPSCF300141	5
DPSCF300142	8
DPSCF300143	20
DPSCF300144	4
DPSCF300145	21
DPSCF300146	1
DPSCF300147	17
DPSCF300148	14
DPSCF300149	6
DPSCF300150	9
DPSCF300152	29
DPSCF300153	22
DPSCF300154	9
DPSCF300155	25
DPSCF300156	9
DPSCF300157	22
DPSCF300158	4
DPSCF300159	22
DPSCF300160	13
DPSCF300161	10
DPSCF300162	3
DPSCF300163	9
DPSCF300164	26
DPSCF300165	24
DPSCF300166	7
DPSCF300167	19
DPSCF300168	5
DPSCF300169	23
DPSCF300170	17
DPSCF300171	4
DPSCF300172	4
DPSCF300173	7
DPSCF300174	11
DPSCF300175	8
DPSCF300176	2
DPSCF300177	16
DPSCF300179	23
DPSCF300180	11
DPSCF300181	22
DPSCF300182	26
DPSCF300183	14
DPSCF300184	19
DPSCF300185	19
DPSCF300186	16
DPSCF300187	19
DPSCF300188	20
DPSCF300190	2
DPSCF300191	2
DPSCF300192	6
DPSCF300193	19
DPSCF300194	15
DPSCF300196	10
DPSCF300197	15
DPSCF300198	25
DPSCF300199	2
DPSCF300200	23
DPSCF300201	2
DPSCF300202	18
DPSCF300203	19
DPSCF300204	14
DPSCF300205	10
DPSCF300206	9
DPSCF300207	20
DPSCF300208	8
DPSCF300209	10
DPSCF300210	8
DPSCF300211	20
DPSCF300212	26
DPSCF300213	4
DPSCF300214	20
DPSCF300215	20
DPSCF300216	23
DPSCF300218	24
DPSCF300219	4
DPSCF300220	16
DPSCF300221	19
DPSCF300222	28
DPSCF300223	3
DPSCF300224	12
DPSCF300225	3
DPSCF300226	3
DPSCF300227	12
DPSCF300228	23
DPSCF300229	11
DPSCF300230	23
DPSCF300232	7
DPSCF300233	3
DPSCF300234	22
DPSCF300235	7
DPSCF300236	17
DPSCF300237	28
DPSCF300238	7
DPSCF300239	22
DPSCF300240	17
DPSCF300241	16
DPSCF300242	30
DPSCF300244	9
DPSCF300245	4
DPSCF300246	27
DPSCF300247	11
DPSCF300248	5
DPSCF300249	26
DPSCF300251	27
DPSCF300253	16
DPSCF300254	27
DPSCF300255	11
DPSCF300256	29
DPSCF300257	7
DPSCF300258	9
DPSCF300259	30
DPSCF300260	30
DPSCF300261	2
DPSCF300262	13
DPSCF300263	25
DPSCF300264	15
DPSCF300265	29
DPSCF300266	28
DPSCF300267	17
DPSCF300268	23
DPSCF300269	28
DPSCF300270	7
DPSCF300271	25
DPSCF300272	25
DPSCF300274	13
DPSCF300275	4
DPSCF300276	19
DPSCF300278	14
DPSCF300279	6
DPSCF300280	18
DPSCF300281	3
DPSCF300282	3
DPSCF300283	28
DPSCF300284	13
DPSCF300285	22
DPSCF300286	25
DPSCF300287	14
DPSCF300288	4
DPSCF300290	23
DPSCF300291	7
DPSCF300293	5
DPSCF300295	8
DPSCF300298	24
DPSCF300299	10
DPSCF300300	19
DPSCF300301	11
DPSCF300302	25
DPSCF300303	23
DPSCF300304	5
DPSCF300305	22
DPSCF300306	22
DPSCF300307	12
DPSCF300308	16
DPSCF300309	14
DPSCF300310	12
DPSCF300311	20
DPSCF300314	13
DPSCF300315	27
DPSCF300316	28
DPSCF300317	28
DPSCF300319	22
DPSCF300320	9
DPSCF300321	16
