chr	registered_name	accession	Lengthgap	start	end	chr	old_name	cm.start	cd.end	length_nogap	without_gap	direction	n_markers
1	Bm_scaf23	DF090338	5097954	1	5097954	1	nscaf2210	0	11.5	"5,083,554 "	"4,699,667 "	F	9
1	Bm_scaf8	DF090323	8002931	5597955	13600885	1	nscaf1690	12	27.8	"7,983,491 "	"7,414,637 "	F	25
1	Bm_scaf142	DF090457	463671	14100886	14564556	1	nscaf3068	27.8	27.8	"463,041 "	"383,565 "	N	1
1	Bm_scaf26	DF090341	4824072	15064557	19888628	1	nscaf3040	30.4	39.9	"4,813,092 "	"4,495,056 "	F	12
1	Bm_scaf72	DF090387	2006566	20388629	22395194	1	nscaf2734	39.9	44.6	"2,002,966 "	"1,776,626 "	R	4
2	Bm_scaf73	DF090388	1903914	1	1903914	2	nscaf2623	0	14.4	"1,898,424 "	"1,737,838 "	R	7
2	Bm_scaf166	DF090481	244108	2403915	2648022	2	nscaf3069	14.4	14.4	"243,028 "	"211,752 "	N	1
2	Bm_scaf265	DF090580	52481	3148023	3200503	2	nscaf2963	15.5	15.5	"52,481 "	"50,497 "	N	1
2	Bm_scaf27	DF090342	4962828	3700504	8663331	2	nscaf2964	16.6	40.8	"4,947,888 "	"4,475,702 "	F	12
2	Bm_scaf202	DF090517	100136	9163332	9263467	2	nscaf1289	47.5	47.5	"99,776 "	"93,690 "	N	1
2	Bm_scaf118	DF090433	704489	9763468	10467956	2	nscaf2053	50.6	50.6	"703,049 "	"668,036 "	N	1
3	Bm_scaf55	DF090370	2715649	1	2715649	3	nscaf2883	0	4.2	"2,708,359 "	"2,404,138 "	F	6
3	Bm_scaf102	DF090417	1187377	3215650	4403026	3	nscaf2886	7.4	8.4	"1,184,947 "	"1,110,548 "	F	4
3	Bm_scaf169	DF090484	252013	4903027	5155039	3	nscaf2882	9.5	9.5	"250,663 "	"187,838 "	N	1
3	Bm_scaf134	DF090449	865830	5655040	6520869	3	nscaf2924	14.8	14.8	"862,410 "	"541,310 "	N	1
3	Bm_scaf17	DF090332	6395444	7020870	13416313	3	nscaf2930	17.2	32.1	"6,379,514 "	"5,607,958 "	R	26
3	Bm_scaf63	DF090378	2158332	13916314	16074645	3	nscaf2931	34.2	42.5	"2,153,742 "	"1,966,274 "	R	4
3	Bm_scaf174	DF090489	203227	16574646	16777872	3	nscaf2927	43.6	43.6	"202,507 "	"153,302 "	N	1
3	Bm_scaf113	DF090428	935170	17277873	18213042	3	nscaf2925	45.7	46.2	"932,920 "	"818,625 "	R	2
4	Bm_scaf5	DF090320	8683647	1	8683647	4	nscaf2847	0	26.6	"8,663,667 "	"7,612,736 "	F	43
4	Bm_scaf185	DF090500	211369	9183648	9395016	4	nscaf2846	26.6	26.6	"210,289 "	"114,625 "	N	1
4	Bm_scaf130	DF090445	668521	9895017	10563537	4	nscaf3078	27.1	28.2	"666,811 "	"566,015 "	F	4
4	Bm_scaf284	DF090599	44137	11063538	11107674	4	nscaf3077	27.1	27.1	"44,137 "	"42,523 "	N	1
4	Bm_scaf13	DF090328	6731059	11607675	18338733	4	nscaf2589	29.3	41	"6,716,299 "	"6,216,550 "	R	36
4	Bm_scaf91	DF090406	1567689	18838734	20406422	4	nscaf2681	42.6	50.5	"1,562,379 "	"1,358,875 "	F	4
4	Bm_scaf956	DF091164	9537	20906423	20915959	4	scaffold1068	51	51	"9,447 "	"6,622 "	N	1
5	Bm_scaf158	DF090473	439102	1	439102	5	nscaf3076	0	1.1	"437,572 "	"290,174 "	F	2
5	Bm_scaf101	DF090416	1310704	939103	2249806	5	nscaf3075	1.1	3.7	"1,304,224 "	"1,157,395 "	R	4
5	Bm_scaf20	DF090335	5834375	2749807	8584181	5	nscaf2529	8	25.4	"5,822,495 "	"5,245,672 "	R	24
5	Bm_scaf336	DF090650	33814	9084182	9117995	5	nscaf1202	25.9	25.9	"33,724 "	"32,006 "	N	1
5	Bm_scaf9	DF090324	8107424	9617996	17725419	5	nscaf2674	25.9	46.4	"8,082,584 "	"7,324,146 "	R	46
5	Bm_scaf54	DF090369	2693215	18225420	20918634	5	nscaf2838	50.1	59.7	"2,687,995 "	"2,426,181 "	R	6
6	Bm_scaf111	DF090426	965032	1	965032	6	nscaf3074	0	4.2	"962,782 "	"868,385 "	R	3
6	Bm_scaf78	DF090393	1734898	1465033	3199930	6	nscaf3079	3.8	5.6	"1,728,238 "	"1,459,414 "	R	4
6	Bm_scaf11	DF090326	6993210	3699931	10693140	6	nscaf2853	7.6	22.8	"6,976,650 "	"6,299,201 "	F	44
6	Bm_scaf88	DF090403	1751055	11193141	12944195	6	nscaf2851	22.8	31.8	"1,746,915 "	"1,379,448 "	F	8
