NW_004581272.1	NP_001108405.1
NW_004581286.1	NP_001103624.1
NW_004581286.1	NP_001103624.1
NW_004581293.1	XP_004921520.1
NW_004581293.1	XP_004921520.1
NW_004581293.1	XP_004921520.1
NW_004581296.1	XP_004921521.1
NW_004581296.1	XP_004921521.1
NW_004581296.1	XP_004921521.1
NW_004581312.1	XP_004921522.1
NW_004581317.1	XP_004921523.1
NW_004581317.1	XP_004921523.1
NW_004581317.1	XP_004921523.1
NW_004581317.1	XP_004921523.1
NW_004581317.1	XP_004921523.1
NW_004581317.1	XP_004921523.1
NW_004581317.1	XP_004921523.1
NW_004581321.1	XP_004921524.1
NW_004581333.1	XP_004921525.1
NW_004581348.1	XP_004921526.1
NW_004581348.1	XP_004921526.1
NW_004581352.1	XP_004921527.1
NW_004581352.1	XP_004921527.1
NW_004581355.1	XP_004921528.1
NW_004581355.1	XP_004921528.1
NW_004581355.1	XP_004921528.1
NW_004581363.1	XP_004921529.1
NW_004581398.1	XP_004921530.1
NW_004581398.1	XP_004921530.1
NW_004581398.1	XP_004921530.1
NW_004581398.1	XP_004921530.1
NW_004581398.1	XP_004921530.1
NW_004581408.1	NP_001116815.1
NW_004581408.1	NP_001116815.1
NW_004581430.1	XP_004921531.1
NW_004581430.1	XP_004921531.1
NW_004581431.1	XP_004921532.1
NW_004581431.1	XP_004921532.1
NW_004581445.1	XP_004921533.1
NW_004581445.1	XP_004921533.1
NW_004581447.1	XP_004921534.1
NW_004581447.1	XP_004921534.1
NW_004581456.1	XP_004921535.1
NW_004581456.1	XP_004921535.1
NW_004581456.1	XP_004921535.1
NW_004581456.1	XP_004921535.1
NW_004581456.1	XP_004921535.1
NW_004581463.1	NP_001108116.1
NW_004581463.1	NP_001108116.1
NW_004581491.1	NP_001121794.1
NW_004581492.1	XP_004921536.1
NW_004581492.1	XP_004921536.1
NW_004581493.1	XP_004921537.1
NW_004581493.1	XP_004921537.1
NW_004581493.1	XP_004921537.1
NW_004581503.1	XP_004921538.1
NW_004581503.1	XP_004921538.1
NW_004581503.1	XP_004921538.1
NW_004581520.1	XP_004921539.1
NW_004581522.1	XP_004921540.1
NW_004581522.1	XP_004921540.1
NW_004581531.1	XP_004921541.1
NW_004581531.1	XP_004921542.1
NW_004581541.1	XP_004921543.1
NW_004581541.1	XP_004921543.1
NW_004581541.1	XP_004921543.1
NW_004581551.1	XP_004921544.1
NW_004581559.1	XP_004921545.1
NW_004581563.1	XP_004921546.1
NW_004581563.1	XP_004921546.1
NW_004581563.1	XP_004921546.1
NW_004581577.1	XP_004921547.1
NW_004581607.1	XP_004921548.1
NW_004581607.1	XP_004921548.1
NW_004581653.1	XP_004921549.1
NW_004581660.1	XP_004921550.1
NW_004581660.1	XP_004921550.1
NW_004581660.1	XP_004921550.1
NW_004581660.1	XP_004921550.1
NW_004581660.1	XP_004921550.1
NW_004581666.1	XP_004921551.1
NW_004581679.1	XP_004921653.1
NW_004581679.1	XP_004921552.1
NW_004581679.1	XP_004921552.1
NW_004581679.1	XP_004921552.1
NW_004581679.1	XP_004921552.1
NW_004581679.1	XP_004921654.1
NW_004581679.1	XP_004921654.1
NW_004581679.1	XP_004921654.1
NW_004581679.1	NP_001243974.1
NW_004581679.1	NP_001243974.1
NW_004581679.1	NP_001243974.1
NW_004581679.1	NP_001243974.1
NW_004581679.1	NP_001243974.1
NW_004581679.1	NP_001243974.1
NW_004581679.1	NP_001243974.1
NW_004581679.1	NP_001243974.1
NW_004581679.1	XP_004921553.1
NW_004581679.1	XP_004921553.1
NW_004581679.1	XP_004921553.1
NW_004581679.1	XP_004921553.1
NW_004581679.1	XP_004921553.1
NW_004581679.1	XP_004921655.1
NW_004581679.1	XP_004921655.1
NW_004581679.1	XP_004921655.1
NW_004581679.1	XP_004921655.1
NW_004581679.1	XP_004921655.1
NW_004581679.1	XP_004921655.1
NW_004581679.1	XP_004921655.1
NW_004581679.1	XP_004921655.1
NW_004581679.1	XP_004921655.1
NW_004581679.1	XP_004921655.1
NW_004581679.1	XP_004921554.1
NW_004581679.1	XP_004921554.1
NW_004581679.1	XP_004921555.1
NW_004581679.1	XP_004921555.1
NW_004581679.1	XP_004921556.1
NW_004581679.1	XP_004921556.1
NW_004581679.1	XP_004921556.1
NW_004581679.1	XP_004921556.1
NW_004581679.1	XP_004921556.1
NW_004581679.1	XP_004921556.1
NW_004581679.1	XP_004921558.1
NW_004581679.1	XP_004921558.1
NW_004581679.1	XP_004921558.1
NW_004581679.1	XP_004921558.1
NW_004581679.1	XP_004921558.1
NW_004581679.1	XP_004921558.1
NW_004581679.1	XP_004921557.1
NW_004581679.1	XP_004921557.1
NW_004581679.1	XP_004921557.1
NW_004581679.1	XP_004921557.1
NW_004581679.1	XP_004921557.1
NW_004581679.1	XP_004921557.1
NW_004581679.1	XP_004921557.1
NW_004581679.1	XP_004921557.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
NW_004581679.1	XP_004921656.1
