# Species	Genes	Alg.-Conn.	Dp_OGS2_prots.fas	Mcinx_prots_noPA.fas
2	2	1	DPOGS200002	MCINX015627
2	2	1	DPOGS200008	MCINX015074
2	2	1	DPOGS200014	MCINX012213
2	2	1	DPOGS200016	MCINX002648
2	2	1	DPOGS200017	MCINX013403
2	2	1	DPOGS200021	MCINX009961
2	2	1	DPOGS200022	MCINX008774
2	2	1	DPOGS200025	MCINX011801
2	2	1	DPOGS200030	MCINX001969
2	2	1	DPOGS200031	MCINX014320
2	2	1	DPOGS200034	MCINX005056
2	2	1	DPOGS200035	MCINX005052
2	2	1	DPOGS200037	MCINX004857
2	2	1	DPOGS200042	MCINX006633
2	2	1	DPOGS200046	MCINX010983
2	2	1	DPOGS200048	MCINX013406
2	2	1	DPOGS200049	MCINX013407
2	2	1	DPOGS200051	MCINX013408
2	2	1	DPOGS200052	MCINX014807
2	2	1	DPOGS200053	MCINX014806
2	2	1	DPOGS200061	MCINX010498
2	2	1	DPOGS200067	MCINX015641
2	2	1	DPOGS200078	MCINX014075
2	2	1	DPOGS200082	MCINX000292
2	2	1	DPOGS200084	MCINX000294
2	2	1	DPOGS200085	MCINX003810
2	2	1	DPOGS200086	MCINX004373
2	2	1	DPOGS200089	MCINX004366
2	2	1	DPOGS200090	MCINX007323
2	2	1	DPOGS200092	MCINX008598
2	2	1	DPOGS200094	MCINX004363
2	2	1	DPOGS200095	MCINX004367
2	2	1	DPOGS200096	MCINX004368
2	2	1	DPOGS200098	MCINX004372
2	2	1	DPOGS200100	MCINX003812
2	2	1	DPOGS200101	MCINX003811
2	2	1	DPOGS200116	MCINX015640
2	2	1	DPOGS200118	MCINX009782
2	3	0.333	DPOGS200119,DPOGS200120-PA	MCINX012271
2	2	1	DPOGS200122	MCINX010499
2	2	1	DPOGS200123	MCINX010497
2	2	1	DPOGS200125	MCINX010494
2	2	1	DPOGS200133	MCINX004603
2	2	1	DPOGS200137	MCINX006251
2	2	1	DPOGS200141	MCINX011769
2	2	1	DPOGS200142	MCINX004679
2	2	1	DPOGS200143	MCINX004676
2	4	0.25	DPOGS200146,DPOGS202096-PA,DPOGS202095-PA	MCINX014069
2	2	1	DPOGS200147	MCINX005407
2	2	1	DPOGS200148	MCINX005404
2	2	1	DPOGS200150	MCINX014102
2	2	1	DPOGS200151	MCINX014101
2	2	1	DPOGS200155	MCINX016564
2	2	1	DPOGS200156	MCINX012288
2	2	1	DPOGS200158	MCINX005571
2	2	1	DPOGS200161	MCINX006954
2	2	1	DPOGS200164	MCINX005408
2	2	1	DPOGS200168	MCINX008215
2	2	1	DPOGS200169	MCINX008216
2	2	1	DPOGS200171	MCINX009221
2	2	1	DPOGS200172	MCINX006252
2	2	1	DPOGS200173	MCINX006253
2	2	1	DPOGS200174	MCINX001458
2	2	1	DPOGS200179	MCINX004604
2	2	1	DPOGS200180	MCINX004605
2	2	1	DPOGS200181	MCINX004608
2	2	1	DPOGS200182	MCINX004611
2	2	1	DPOGS200183	MCINX004612
2	2	1	DPOGS200185	MCINX004613
2	2	1	DPOGS200186	MCINX004614
2	3	0.333	DPOGS200188,DPOGS202092-PA	MCINX004616
2	2	1	DPOGS200189	MCINX004700
2	2	1	DPOGS200190	MCINX007808
2	2	1	DPOGS200191	MCINX007809
2	2	1	DPOGS200193	MCINX004696
2	2	1	DPOGS200196	MCINX001831
2	2	1	DPOGS200202	MCINX000312
2	2	1	DPOGS200205	MCINX006920
2	2	1	DPOGS200206	MCINX004694
2	2	1	DPOGS200208	MCINX007442
2	2	1	DPOGS200210	MCINX003858
2	2	1	DPOGS200211	MCINX013334
2	2	1	DPOGS200216	MCINX013333
2	2	1	DPOGS200219	MCINX003623
2	2	1	DPOGS200221	MCINX003621
2	2	1	DPOGS200222	MCINX005491
2	2	1	DPOGS200224	MCINX008629
2	2	1	DPOGS200225	MCINX008627
2	2	1	DPOGS200226	MCINX014777
2	2	1	DPOGS200227	MCINX005492
2	2	1	DPOGS200228	MCINX003733
2	2	1	DPOGS200231	MCINX000965
2	2	1	DPOGS200233	MCINX000962
2	2	1	DPOGS200236	MCINX008624
2	2	1	DPOGS200237	MCINX009390
2	2	1	DPOGS200238	MCINX009387
2	2	1	DPOGS200239	MCINX009386
2	2	1	DPOGS200240	MCINX006668
2	2	1	DPOGS200241	MCINX006670
2	4	0.25	DPOGS200242,DPOGS200244-PA,DPOGS200243-PA	MCINX006671
2	2	1	DPOGS200245	MCINX004730
2	2	1	DPOGS200246	MCINX006669
2	2	1	DPOGS200248	MCINX009388
2	2	1	DPOGS200249	MCINX009389
2	2	1	DPOGS200250	MCINX008626
2	2	1	DPOGS200251	MCINX008625
2	2	1	DPOGS200253	MCINX000961
2	2	1	DPOGS200254	MCINX008789
2	2	1	DPOGS200258	MCINX007415
2	2	1	DPOGS200260	MCINX014425
2	2	1	DPOGS200261	MCINX004340
2	2	1	DPOGS200262	MCINX004336
2	2	1	DPOGS200264	MCINX006157
2	4	0.25	DPOGS200270,DPOGS200272-PA,DPOGS200271-PA	MCINX006164
2	2	1	DPOGS200277	MCINX005723
2	2	1	DPOGS200278	MCINX005727
2	2	1	DPOGS200279	MCINX005726
2	2	1	DPOGS200280	MCINX005722
2	2	1	DPOGS200281	MCINX005721
2	2	1	DPOGS200282	MCINX005718
2	2	1	DPOGS200287	MCINX012926
2	2	1	DPOGS200290	MCINX011707
2	2	1	DPOGS200291	MCINX011710
2	2	1	DPOGS200292	MCINX005349
2	2	1	DPOGS200293	MCINX009170
2	2	1	DPOGS200294	MCINX009171
2	2	1	DPOGS200295	MCINX001433
2	2	1	DPOGS200296	MCINX008536
2	2	1	DPOGS200297	MCINX008535
2	2	1	DPOGS200298	MCINX015085
2	2	1	DPOGS200300	MCINX009294
2	2	1	DPOGS200302	MCINX009369
2	2	1	DPOGS200303	MCINX009366
2	2	1	DPOGS200305	MCINX011606
2	2	1	DPOGS200307	MCINX002280
2	2	1	DPOGS200308	MCINX002279
2	2	1	DPOGS200309	MCINX002275
2	2	1	DPOGS200312	MCINX007987
2	2	1	DPOGS200313	MCINX012340
2	2	1	DPOGS200316	MCINX012338
2	2	1	DPOGS200317	MCINX012334
2	2	1	DPOGS200318	MCINX002274
2	2	1	DPOGS200324	MCINX002281
2	2	1	DPOGS200326	MCINX011604
2	4	0.25	DPOGS200327,DPOGS207542-PA,DPOGS200328-PA	MCINX009367
2	2	1	DPOGS200330	MCINX009295
2	2	1	DPOGS200333	MCINX011603
2	2	1	DPOGS200334	MCINX004092
2	2	1	DPOGS200341	MCINX001431
