"Scaffold" "Length" "M36M" "M38F" "STM123F" "STM146M" "HI035F" "HI004M"
"1" "DPSCF300001" 6243218 42 13 9 22 13 21
"2" "DPSCF300002" 1830065 41 24 16 21 24 19
"3" "DPSCF300003" 1815366 42 13 10 22 13 23
"4" "DPSCF300004" 1756756 42 25 17 21 25 20
"5" "DPSCF300005" 1509748 42 13 8 22 13 21
"6" "DPSCF300006" 1953394 43 25 17 21 24 21
"7" "DPSCF300007" 1499987 41 25 18 23 23 26
"8" "DPSCF300008" 1575543 42 25 16 21 25 19
"9" "DPSCF300009" 2153648 43 25 15 21 25 20
"10" "DPSCF300010" 3672573 41 24 15 21 24 20
"11" "DPSCF300011" 1390326 40 24 22 24 21 29
"12" "DPSCF300012" 1364361 41 12 12 24 12 25
"13" "DPSCF300013" 1808464 40 24 14 20 24 17
"14" "DPSCF300014" 2585332 42 25 17 22 24 23
"15" "DPSCF300015" 1301962 42 25 24 24 22 28
"16" "DPSCF300016" 1342045 41 25 16 22 24 22
"17" "DPSCF300017" 1813048 42 25 17 21 24 20
"18" "DPSCF300018" 1382065 40 24 21 23 21 27
"19" "DPSCF300019" 1178572 43 25 21 23 23 24
"20" "DPSCF300020" 1221402 42 24 16 21 24 20
"21" "DPSCF300021" 1477362 41 24 13 21 25 16
"22" "DPSCF300022" 1983230 41 24 17 22 24 20
"23" "DPSCF300023" 1085788 42 25 16 21 25 18
"24" "DPSCF300024" 1022177 42 25 17 23 24 23
"25" "DPSCF300025" 1020522 41 24 21 23 22 25
"26" "DPSCF300026" 1171133 42 25 17 21 24 21
"27" "DPSCF300027" 1459055 41 24 16 21 23 19
"28" "DPSCF300028" 1864814 42 16 12 22 15 23
"29" "DPSCF300029" 1308455 41 24 14 19 25 16
"30" "DPSCF300030" 1304796 39 23 14 20 24 16
"31" "DPSCF300031" 1091598 40 24 17 21 23 19
"32" "DPSCF300032" 1070862 41 24 17 21 24 21
"33" "DPSCF300033" 1277267 44 25 18 22 24 22
"34" "DPSCF300034" 1175897 40 24 15 20 24 18
"35" "DPSCF300035" 1540557 40 24 15 20 24 18
"36" "DPSCF300036" 956519 41 24 18 22 22 23
"37" "DPSCF300037" 925795 42 25 20 22 23 23
"38" "DPSCF300038" 1356559 40 24 16 20 23 18
"39" "DPSCF300039" 954972 40 24 15 20 23 19
"40" "DPSCF300040" 954994 39 24 15 21 24 18
"41" "DPSCF300041" 2363446 41 24 18 21 23 21
"42" "DPSCF300042" 1794263 41 24 16 20 23 20
"43" "DPSCF300043" 1135066 39 23 16 20 22 18
"44" "DPSCF300044" 1126962 41 20 12 20 19 18
"45" "DPSCF300045" 973409 42 25 23 23 22 26
"46" "DPSCF300046" 938901 43 25 18 22 23 27
"47" "DPSCF300047" 857383 41 24 18 22 24 21
"48" "DPSCF300048" 2044560 42 25 15 21 25 18
"49" "DPSCF300049" 841047 42 24 18 21 24 19
"50" "DPSCF300050" 926102 41 24 18 21 22 24
"51" "DPSCF300051" 834462 42 25 18 23 24 24
"52" "DPSCF300052" 1070787 42 24 18 20 24 20
"53" "DPSCF300053" 1376582 40 24 13 20 25 15
"54" "DPSCF300054" 946132 43 25 17 21 25 18
"55" "DPSCF300055" 922562 39 23 21 22 19 30
"56" "DPSCF300056" 833387 39 23 17 19 21 19
"57" "DPSCF300057" 945418 42 25 19 21 24 20
"58" "DPSCF300058" 743157 36 21 11 17 22 13
"59" "DPSCF300059" 742841 40 24 16 21 24 18
"60" "DPSCF300060" 741593 42 25 15 21 25 18
"61" "DPSCF300061" 1318231 39 23 17 20 21 21
"62" "DPSCF300062" 724680 40 23 16 20 22 20
"63" "DPSCF300063" 1126141 39 23 13 20 23 16
"64" "DPSCF300064" 1946020 42 25 16 21 24 20
"65" "DPSCF300065" 715606 39 23 18 21 22 22
"66" "DPSCF300066" 711328 41 12 8 21 13 17
"67" "DPSCF300067" 883438 38 23 13 19 23 14
"68" "DPSCF300068" 704233 41 12 12 25 11 32
"69" "DPSCF300069" 703220 35 20 17 18 17 20
"70" "DPSCF300070" 916090 41 24 15 20 24 17
"71" "DPSCF300071" 974371 40 24 17 21 23 21
"72" "DPSCF300072" 1294070 42 25 15 21 25 19
"73" "DPSCF300073" 916279 41 24 15 21 24 20
"74" "DPSCF300074" 676579 43 25 16 21 24 23
"75" "DPSCF300075" 657597 42 13 7 21 14 17
"76" "DPSCF300076" 922154 40 24 19 22 22 23
"77" "DPSCF300077" 952369 42 25 17 21 25 18
"78" "DPSCF300078" 1065982 42 25 17 22 24 22
"79" "DPSCF300079" 939543 40 24 15 19 23 18
"80" "DPSCF300080" 626656 42 25 17 21 24 22
"81" "DPSCF300081" 624962 40 25 18 22 23 22
"82" "DPSCF300082" 1360402 40 24 15 20 24 18
"83" "DPSCF300083" 617440 42 13 9 23 13 22
"84" "DPSCF300084" 612630 41 24 13 20 24 17
"85" "DPSCF300085" 609027 37 22 12 18 24 14
"86" "DPSCF300086" 773155 40 24 29 25 19 37
"87" "DPSCF300087" 606879 42 24 21 22 22 25
"88" "DPSCF300088" 1299390 40 24 18 21 23 21
"89" "DPSCF300089" 610512 40 23 14 19 24 15
"90" "DPSCF300090" 836178 41 25 14 20 25 19
"91" "DPSCF300091" 747294 41 24 17 20 24 17
"92" "DPSCF300092" 594432 40 24 14 21 25 16
"93" "DPSCF300093" 594161 36 22 13 18 23 14
"94" "DPSCF300094" 626861 41 24 14 20 25 16
"95" "DPSCF300095" 819609 42 25 14 20 25 16
"96" "DPSCF300096" 633311 37 22 14 19 23 16
"97" "DPSCF300097" 578106 39 24 14 21 23 20
"98" "DPSCF300098" 823942 40 23 15 19 23 16
"99" "DPSCF300099" 726929 39 23 14 19 24 15
"100" "DPSCF300100" 559321 40 23 16 19 23 18
"101" "DPSCF300101" 549235 43 26 15 21 26 18
"102" "DPSCF300102" 547358 40 24 22 23 21 29
"103" "DPSCF300103" 545811 43 25 15 20 25 17
"104" "DPSCF300104" 653664 33 19 13 16 18 14
"105" "DPSCF300105" 543736 42 25 18 22 24 23
"106" "DPSCF300106" 540191 42 25 15 20 24 19
"107" "DPSCF300107" 537674 43 25 18 22 25 22
"108" "DPSCF300108" 1058652 35 21 10 17 22 12
"109" "DPSCF300109" 554447 39 23 22 22 19 28
"110" "DPSCF300110" 531716 38 23 18 21 23 20
"111" "DPSCF300111" 670234 40 24 14 20 26 14
"112" "DPSCF300112" 524456 42 25 16 21 25 18
"113" "DPSCF300113" 620120 39 24 21 23 23 23
"114" "DPSCF300114" 516792 41 24 27 24 20 33
"115" "DPSCF300115" 983066 38 23 18 20 22 19
"116" "DPSCF300116" 515509 38 22 14 18 22 14
"117" "DPSCF300117" 1171418 40 23 13 19 24 15
"118" "DPSCF300118" 510459 37 23 20 22 20 24
"119" "DPSCF300119" 529550 38 23 22 22 21 26
"120" "DPSCF300120" 504859 40 24 25 24 19 33
"121" "DPSCF300121" 521519 37 22 13 19 24 15
"122" "DPSCF300122" 648615 37 22 18 19 20 21
"123" "DPSCF300123" 497741 41 24 16 20 24 17
"124" "DPSCF300124" 522482 41 24 16 20 25 17
"125" "DPSCF300125" 490974 42 24 17 20 23 20
"126" "DPSCF300126" 513762 41 24 18 21 22 22
"127" "DPSCF300127" 591063 39 23 15 19 22 19
"128" "DPSCF300128" 762291 42 25 20 22 22 23
"129" "DPSCF300129" 743137 38 22 11 18 24 14
"130" "DPSCF300130" 531285 37 22 11 18 24 14
"131" "DPSCF300131" 856660 39 23 15 20 22 18
"132" "DPSCF300132" 456176 38 23 11 19 25 14
"133" "DPSCF300133" 455978 42 24 14 21 24 18
"134" "DPSCF300134" 453170 42 12 8 22 12 21
"135" "DPSCF300135" 452027 36 21 12 18 23 14
"136" "DPSCF300136" 447763 42 24 16 20 24 16
"137" "DPSCF300137" 487851 39 23 17 20 22 19
"138" "DPSCF300138" 762551 40 24 16 21 24 18
"139" "DPSCF300139" 442976 31 18 15 18 17 17
"140" "DPSCF300140" 726725 42 25 15 20 26 15
"141" "DPSCF300141" 453882 38 22 19 21 20 21
"142" "DPSCF300142" 434432 40 24 13 20 25 17
"143" "DPSCF300143" 800348 39 23 23 23 20 29
"144" "DPSCF300144" 445942 42 25 17 21 24 20
"145" "DPSCF300145" 430170 41 13 9 22 12 22
"146" "DPSCF300146" 429821 41 12 9 23 12 25
"147" "DPSCF300147" 647186 40 23 17 20 21 20
"148" "DPSCF300148" 419485 41 24 30 26 19 38
"149" "DPSCF300149" 635903 39 23 19 21 21 23
"150" "DPSCF300150" 751633 40 24 17 21 24 19
"151" "DPSCF300151" 417021 38 22 17 20 19 19
"152" "DPSCF300152" 500509 32 18 17 17 13 23
"153" "DPSCF300153" 414562 38 21 13 18 23 13
"154" "DPSCF300154" 422320 44 26 16 22 25 22
"155" "DPSCF300155" 415916 38 23 15 19 22 20
"156" "DPSCF300156" 403206 40 23 22 24 20 27
"157" "DPSCF300157" 398210 36 21 13 17 22 14
"158" "DPSCF300158" 397306 43 25 17 21 25 21
"159" "DPSCF300159" 396746 38 22 14 19 21 17
"160" "DPSCF300160" 722724 39 23 13 19 23 16
"161" "DPSCF300161" 389913 39 23 13 19 24 15
"162" "DPSCF300162" 387201 39 23 17 21 21 22
"163" "DPSCF300163" 385526 33 19 10 16 20 14
"164" "DPSCF300164" 382793 44 25 16 20 24 18
"165" "DPSCF300165" 377578 40 24 23 23 22 26
"166" "DPSCF300166" 377463 39 22 14 19 22 17
"167" "DPSCF300167" 386798 39 23 15 21 23 19
"168" "DPSCF300168" 740435 39 23 20 23 21 26
"169" "DPSCF300169" 377544 39 23 13 19 25 17
"170" "DPSCF300170" 641136 38 22 16 19 22 18
"171" "DPSCF300171" 673784 41 25 17 22 24 21
"172" "DPSCF300172" 362640 40 24 18 21 23 19
"173" "DPSCF300173" 962929 37 22 12 18 23 14
"174" "DPSCF300174" 633084 41 25 16 21 24 20
"175" "DPSCF300175" 356036 37 22 15 19 22 17
"176" "DPSCF300176" 968699 40 23 17 21 22 21
"177" "DPSCF300177" 689637 41 24 15 21 24 20
"178" "DPSCF300178" 352568 37 23 16 20 23 18
"179" "DPSCF300179" 350158 41 24 16 21 22 22
"180" "DPSCF300180" 434958 38 23 16 19 22 16
"181" "DPSCF300181" 346756 39 23 17 19 23 18
"182" "DPSCF300182" 697181 42 24 17 20 23 19
"183" "DPSCF300183" 386314 42 24 14 20 25 17
"184" "DPSCF300184" 337700 39 23 18 21 20 25
"185" "DPSCF300185" 399805 40 23 18 22 20 24
"186" "DPSCF300186" 336967 40 24 30 25 21 34
"187" "DPSCF300187" 336485 36 21 15 18 21 17
"188" "DPSCF300188" 611140 41 25 16 20 24 20
"189" "DPSCF300189" 329597 39 23 13 19 24 15
"190" "DPSCF300190" 325714 39 23 13 19 22 19
"191" "DPSCF300191" 1043403 39 23 18 22 21 23
"192" "DPSCF300192" 446857 39 23 17 21 21 21
"193" "DPSCF300193" 399725 37 22 11 18 23 14
"194" "DPSCF300194" 337839 35 21 10 17 23 12
"195" "DPSCF300195" 619585 37 22 14 20 22 18
"196" "DPSCF300196" 821992 40 24 20 22 22 24
"197" "DPSCF300197" 377849 42 25 17 21 23 22
"198" "DPSCF300198" 342599 36 20 13 18 20 15
"199" "DPSCF300199" 314212 42 25 18 21 24 22
"200" "DPSCF300200" 313791 40 23 23 20 21 24
"201" "DPSCF300201" 310911 41 23 20 21 21 25
"202" "DPSCF300202" 310177 40 24 22 24 22 25
"203" "DPSCF300203" 496585 40 24 18 20 22 22
"204" "DPSCF300204" 410553 37 22 10 18 24 13
"205" "DPSCF300205" 307373 40 23 12 19 23 16
"206" "DPSCF300206" 307244 38 22 13 18 23 14
"207" "DPSCF300207" 307182 41 24 15 20 23 19
"208" "DPSCF300208" 662087 37 22 13 18 21 16
"209" "DPSCF300209" 305527 40 24 13 20 24 16
"210" "DPSCF300210" 305227 44 26 17 22 25 21
"211" "DPSCF300211" 304722 33 20 11 17 21 13
"212" "DPSCF300212" 884319 40 23 15 19 22 17
"213" "DPSCF300213" 302380 38 23 11 19 25 14
"214" "DPSCF300214" 353912 40 23 12 19 23 15
"215" "DPSCF300215" 299869 40 24 15 20 23 18
