# Species	Genes	Alg.-Conn.	Hmel_prots_unique.fas	Dp_OGS2_prots.fas
2	2	1	HMEL000003	DPOGS215068
2	2	1	HMEL000004	DPOGS215037
2	2	1	HMEL000006	DPOGS215036
2	2	1	HMEL000007	DPOGS215035
2	2	1	HMEL000008	DPOGS215069
2	2	1	HMEL000010	DPOGS215034
2	2	1	HMEL000013	DPOGS200366
2	7	0.429	HMEL000014,HMEL009332,HMEL008038	DPOGS212517,DPOGS212471,DPOGS207203,DPOGS200276
2	2	1	HMEL000015	DPOGS200365
2	2	1	HMEL000016	DPOGS200277
2	2	1	HMEL000017	DPOGS200364
2	2	1	HMEL000018	DPOGS200279
2	2	1	HMEL000019	DPOGS200280
2	2	1	HMEL000020	DPOGS200281
2	2	1	HMEL000022	DPOGS200362
2	2	1	HMEL000023	DPOGS200282
2	2	1	HMEL000025	DPOGS200358
2	2	1	HMEL000026	DPOGS200357
2	2	1	HMEL000027	DPOGS200356
2	2	1	HMEL000029	DPOGS200355
2	3	0.333	HMEL000030,HMEL002036	DPOGS200286
2	2	1	HMEL000032	DPOGS200353
2	2	1	HMEL000034	DPOGS200352
2	2	1	HMEL000036	DPOGS200350
2	2	1	HMEL000037	DPOGS200349
2	2	1	HMEL000038	DPOGS200289
2	2	1	HMEL000039	DPOGS200347
2	2	1	HMEL000040	DPOGS200346
2	2	1	HMEL000041	DPOGS200290
2	2	1	HMEL000042	DPOGS200345
2	2	1	HMEL000043	DPOGS200344
2	2	1	HMEL000044	DPOGS200291
2	2	1	HMEL000045	DPOGS200292
2	2	1	HMEL000046	DPOGS200343
2	2	1	HMEL000048	DPOGS200293
2	2	1	HMEL000049	DPOGS200294
2	2	1	HMEL000050	DPOGS200341
2	2	1	HMEL000051	DPOGS200295
2	2	1	HMEL000056	DPOGS200299
2	2	1	HMEL000057	DPOGS200336
2	2	1	HMEL000058	DPOGS200335
2	2	1	HMEL000059	DPOGS200334
2	2	1	HMEL000060	DPOGS200333
2	2	1	HMEL000061	DPOGS200326
2	2	1	HMEL001000	DPOGS200604
2	2	1	HMEL001004	DPOGS200603
2	2	1	HMEL001006	DPOGS200636
2	2	1	HMEL001009	DPOGS200602
2	2	1	HMEL001014	DPOGS200598
2	2	1	HMEL001017	DPOGS200640
2	2	1	HMEL001018	DPOGS200599
2	2	1	HMEL001019	DPOGS200600
2	2	1	HMEL001020	DPOGS200601
2	2	1	HMEL001021	DPOGS200638
2	2	1	HMEL001022	DPOGS200637
2	2	1	HMEL001028	DPOGS200597
2	2	1	HMEL001029	DPOGS200648
2	2	1	HMEL001031	DPOGS200591
2	2	1	HMEL001033	DPOGS200592
2	2	1	HMEL001034	DPOGS200646
2	2	1	HMEL001035	DPOGS200593
2	2	1	HMEL001036	DPOGS200645
2	2	1	HMEL001037	DPOGS200594
2	2	1	HMEL001038	DPOGS200644
2	2	1	HMEL001039	DPOGS200595
2	2	1	HMEL001042	DPOGS200643
2	2	1	HMEL001043	DPOGS214002
2	2	1	HMEL001044	DPOGS200642
2	2	1	HMEL002001	DPOGS215048
2	2	1	HMEL002002	DPOGS215047
2	2	1	HMEL002009	DPOGS215061
2	2	1	HMEL002011	DPOGS215063
2	2	1	HMEL002013	DPOGS215041
2	2	1	HMEL002014	DPOGS215065
2	2	1	HMEL002015	DPOGS215066
2	2	1	HMEL002016	DPOGS215040
2	2	1	HMEL002017	DPOGS215039
2	2	1	HMEL002020	DPOGS200278
2	2	1	HMEL002023	DPOGS200284
2	2	1	HMEL002024	DPOGS200359
2	2	1	HMEL002040	DPOGS204608
2	2	1	HMEL002041	DPOGS200305
2	2	1	HMEL002053	DPOGS200649
2	4	0.5	HMEL002054,HMEL012021	DPOGS208017,DPOGS206621
2	2	1	HMEL002060	DPOGS201956
2	2	1	HMEL002065	DPOGS207255
2	2	1	HMEL002066	DPOGS205167
2	2	1	HMEL002069	DPOGS207420
2	2	1	HMEL002070	DPOGS207421
2	2	1	HMEL002071	DPOGS207406
2	2	1	HMEL002072	DPOGS207422
2	2	1	HMEL002073	DPOGS207405
2	2	1	HMEL002075	DPOGS207423
2	2	1	HMEL002076	DPOGS207404
2	2	1	HMEL002077	DPOGS207424
2	2	1	HMEL002082	DPOGS201940
2	2	1	HMEL002085	DPOGS210024
2	2	1	HMEL002086	DPOGS210026
2	2	1	HMEL002087	DPOGS210022
2	2	1	HMEL002088	DPOGS210027
2	2	1	HMEL002090	DPOGS210028
2	2	1	HMEL002091	DPOGS210019
2	2	1	HMEL002092	DPOGS200267
2	2	1	HMEL002096	DPOGS207179
2	2	1	HMEL002099	DPOGS211385
2	2	1	HMEL002107	DPOGS202343
2	2	1	HMEL002108	DPOGS202239
2	2	1	HMEL002110	DPOGS206998
2	2	1	HMEL002112	DPOGS206997
2	2	1	HMEL002113	DPOGS206936
2	2	1	HMEL002114	DPOGS206996
2	2	1	HMEL002115	DPOGS206995
2	2	1	HMEL002116	DPOGS206994
2	2	1	HMEL002117	DPOGS206978
2	2	1	HMEL002119	DPOGS206979
2	2	1	HMEL002121	DPOGS206946
2	2	1	HMEL002123	DPOGS206945
2	2	1	HMEL002124	DPOGS206980
2	2	1	HMEL002125	DPOGS206983
2	2	1	HMEL002126	DPOGS206984
2	2	1	HMEL002127	DPOGS206985
2	2	1	HMEL002128	DPOGS206986
2	2	1	HMEL002132	DPOGS208268
2	2	1	HMEL002133	DPOGS208280
2	2	1	HMEL002135	DPOGS208279
2	2	1	HMEL002137	DPOGS208278
2	2	1	HMEL002138	DPOGS208281
2	2	1	HMEL002140	DPOGS208284
2	2	1	HMEL002142	DPOGS201363
2	2	1	HMEL002143	DPOGS201387
2	2	1	HMEL002145	DPOGS201364
2	2	1	HMEL002150	DPOGS215057
2	2	1	HMEL002156	DPOGS209689
2	2	1	HMEL002157	DPOGS201376
2	2	1	HMEL002158	DPOGS201375
2	2	1	HMEL002161	DPOGS201373
2	2	1	HMEL002162	DPOGS208514
2	2	1	HMEL002163	DPOGS209671
2	2	1	HMEL002164	DPOGS209683
2	2	1	HMEL002165	DPOGS209672
2	2	1	HMEL002166	DPOGS209682
2	2	1	HMEL002167	DPOGS209681
2	2	1	HMEL002170	DPOGS209675
2	2	1	HMEL002174	DPOGS207264
2	2	1	HMEL002175	DPOGS207295
2	2	1	HMEL002176	DPOGS207263
2	2	1	HMEL002177	DPOGS207296
2	2	1	HMEL002178	DPOGS207262
2	2	1	HMEL002179	DPOGS207297
2	2	1	HMEL002180	DPOGS207261
2	2	1	HMEL002181	DPOGS207299
2	2	1	HMEL002183	DPOGS207257
2	2	1	HMEL002186	DPOGS205595
2	2	1	HMEL002188	DPOGS208479
2	2	1	HMEL002189	DPOGS208482
2	2	1	HMEL002190	DPOGS208558
2	2	1	HMEL002193	DPOGS205460
2	2	1	HMEL002194	DPOGS205480
2	2	1	HMEL002195	DPOGS216109
2	2	1	HMEL002199	DPOGS207337
2	2	1	HMEL002202	DPOGS207336
2	2	1	HMEL002203	DPOGS207335
2	2	1	HMEL002204	DPOGS207340
2	2	1	HMEL002211	DPOGS211225
2	2	1	HMEL002213	DPOGS211226
2	2	1	HMEL002214	DPOGS211078
2	2	1	HMEL002215	DPOGS211077
2	2	1	HMEL002216	DPOGS211227
2	2	1	HMEL002217	DPOGS211076
2	2	1	HMEL002218	DPOGS211075
2	2	1	HMEL002225	DPOGS202655
2	2	1	HMEL002226	DPOGS202664
2	2	1	HMEL002227	DPOGS202656
2	2	1	HMEL002228	DPOGS202663
2	2	1	HMEL002229	DPOGS202657
2	2	1	HMEL002230	DPOGS202662
2	2	1	HMEL002231	DPOGS202658
2	2	1	HMEL002238	DPOGS200173
2	2	1	HMEL002240	DPOGS216005
2	2	1	HMEL002241	DPOGS215978
2	2	1	HMEL002243	DPOGS216007
2	2	1	HMEL002244	DPOGS215977
2	2	1	HMEL002247	DPOGS214216
