scaffold	geneID	ZorA	chromosome
DPSCF300002	DPOGS204424	A	3
DPSCF300002	DPOGS204463	A	3
DPSCF300002	DPOGS204460	A	3
DPSCF300002	DPOGS204423	A	3
DPSCF300002	DPOGS204418	A	3
DPSCF300002	DPOGS204422	A	3
DPSCF300002	DPOGS204426	A	3
DPSCF300002	DPOGS204421	A	3
DPSCF300002	DPOGS204419	A	3
DPSCF300002	DPOGS204387	A	3
DPSCF300002	DPOGS204440	A	3
DPSCF300002	DPOGS204433	A	3
DPSCF300002	DPOGS204462	A	3
DPSCF300002	DPOGS204420	A	3
DPSCF300002	DPOGS204498	A	3
DPSCF300002	DPOGS204493	A	3
DPSCF300002	DPOGS204413	A	3
DPSCF300002	DPOGS204499	A	3
DPSCF300002	DPOGS204428	A	3
DPSCF300002	DPOGS204414	A	3
DPSCF300002	DPOGS204436	A	3
DPSCF300002	DPOGS204461	A	3
DPSCF300002	DPOGS204378	A	3
DPSCF300002	DPOGS204393	A	3
DPSCF300002	DPOGS204508	A	3
DPSCF300002	DPOGS204425	A	3
DPSCF300002	DPOGS204415	A	3
DPSCF300002	DPOGS204465	A	3
DPSCF300002	DPOGS204377	A	3
DPSCF300002	DPOGS204469	A	3
DPSCF300002	DPOGS204392	A	3
DPSCF300002	DPOGS204458	A	3
DPSCF300002	DPOGS204382	A	3
DPSCF300002	DPOGS204496	A	3
DPSCF300002	DPOGS204480	A	3
DPSCF300002	DPOGS204376	A	3
DPSCF300002	DPOGS204483	A	3
DPSCF300002	DPOGS204482	A	3
DPSCF300002	DPOGS204473	A	3
DPSCF300002	DPOGS204470	A	3
DPSCF300002	DPOGS204431	A	3
DPSCF300002	DPOGS204487	A	3
DPSCF300002	DPOGS204503	A	3
DPSCF300002	DPOGS204474	A	3
DPSCF300002	DPOGS204381	A	3
DPSCF300002	DPOGS204394	A	3
DPSCF300002	DPOGS204417	A	3
DPSCF300002	DPOGS204456	A	3
DPSCF300002	DPOGS204455	A	3
DPSCF300002	DPOGS204459	A	3
DPSCF300002	DPOGS204412	A	3
DPSCF300002	DPOGS204497	A	3
DPSCF300002	DPOGS204495	A	3
DPSCF300002	DPOGS204492	A	3
DPSCF300002	DPOGS204388	A	3
DPSCF300002	DPOGS204379	A	3
DPSCF300002	DPOGS204484	A	3
DPSCF300002	DPOGS204380	A	3
DPSCF300002	DPOGS204454	A	3
DPSCF300002	DPOGS204427	A	3
DPSCF300002	DPOGS204385	A	3
DPSCF300002	DPOGS204386	A	3
