/panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Hmel_mummer/../DPSCF300001.fas /panfs/pfs.acf.ku.edu/scratch/jwalters/monarch_Zlinkage_orthology/neoZ_mummer/Hmel_mummer/../Hmel2_Chr21.fas
PROMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
140044	140445	801745	802149	402	405	6243218	2640189	0.01	0.02	DPSCF300001	Hmel221001
560510	560917	480150	480569	408	420	6243218	662847	0.01	0.06	DPSCF300001	Hmel221005
560905	561000	210105	210200	96	96	6243218	250685	0.00	0.04	DPSCF300001	Hmel221046
561000	562778	48932	50710	1779	1779	6243218	728551	0.03	0.24	DPSCF300001	Hmel221036
562040	562813	1324782	1325555	774	774	6243218	2640189	0.01	0.03	DPSCF300001	Hmel221001
1476520	1477173	168210	168851	654	642	6243218	309213	0.01	0.21	DPSCF300001	Hmel221045
1479819	1480004	95172	95360	186	189	6243218	901467	0.00	0.02	DPSCF300001	Hmel221015
2270207	2270506	397	774	300	378	6243218	165351	0.00	0.23	DPSCF300001	Hmel221025
2270894	2271019	159797	159925	126	129	6243218	250685	0.00	0.05	DPSCF300001	Hmel221046
2271801	2272286	158396	158899	486	504	6243218	250685	0.01	0.20	DPSCF300001	Hmel221046
2272295	2273082	44322	45119	788	798	6243218	45186	0.01	1.77	DPSCF300001	Hmel221023
2275374	2275520	41824	41970	147	147	6243218	45186	0.00	0.33	DPSCF300001	Hmel221023
2698015	2698503	330	818	489	489	6243218	128078	0.01	0.38	DPSCF300001	Hmel221010
2698018	2698503	811181	811675	486	495	6243218	3415019	0.01	0.01	DPSCF300001	Hmel221012
2698505	2698612	2616457	2616564	108	108	6243218	3415019	0.00	0.00	DPSCF300001	Hmel221012
2742085	2742165	2610095	2610175	81	81	6243218	3415019	0.00	0.00	DPSCF300001	Hmel221012
2986411	2986524	1973291	1973404	114	114	6243218	2640189	0.00	0.00	DPSCF300001	Hmel221001
3439358	3440608	567221	568474	1251	1254	6243218	635484	0.02	0.20	DPSCF300001	Hmel221044
3440559	3441560	565994	566989	1002	996	6243218	635484	0.02	0.16	DPSCF300001	Hmel221044
3493561	3493662	85987	86085	102	99	6243218	154795	0.00	0.06	DPSCF300001	Hmel221019
3493576	3493734	184054	184212	159	159	6243218	309213	0.00	0.05	DPSCF300001	Hmel221045
3715500	3715883	2033	2431	384	399	6243218	662847	0.01	0.06	DPSCF300001	Hmel221005
3886356	3886529	193903	194076	174	174	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
3886708	3886926	194348	194536	219	189	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
3887899	3888093	196551	196745	195	195	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
3888151	3888417	199517	199783	267	267	6243218	436181	0.00	0.06	DPSCF300001	Hmel221017
3888409	3888522	200259	200372	114	114	6243218	436181	0.00	0.03	DPSCF300001	Hmel221017
3888520	3888630	201786	201896	111	111	6243218	436181	0.00	0.03	DPSCF300001	Hmel221017
3888998	3889120	204274	204396	123	123	6243218	436181	0.00	0.03	DPSCF300001	Hmel221017
3893893	3894099	210059	210316	207	258	6243218	436181	0.00	0.06	DPSCF300001	Hmel221017
3895983	3896378	212379	212774	396	396	6243218	436181	0.01	0.09	DPSCF300001	Hmel221017
3898351	3898596	217206	217466	246	261	6243218	436181	0.00	0.06	DPSCF300001	Hmel221017
3900801	3901142	222985	223290	342	306	6243218	436181	0.01	0.07	DPSCF300001	Hmel221017
3931762	3931980	264111	264389	219	279	6243218	436181	0.00	0.06	DPSCF300001	Hmel221017
3934787	3934921	269178	269297	135	120	6243218	436181	0.00	0.03	DPSCF300001	Hmel221017
3935819	3936043	271352	271576	225	225	6243218	436181	0.00	0.05	DPSCF300001	Hmel221017
3948801	3948890	282104	282193	90	90	6243218	436181	0.00	0.02	DPSCF300001	Hmel221017
3959539	3959637	306735	306833	99	99	6243218	436181	0.00	0.02	DPSCF300001	Hmel221017
3963624	3963779	310510	310665	156	156	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
3974150	3974305	315543	315701	156	159	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
3977923	3978108	317242	317430	186	189	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
3983182	3983343	330586	330747	162	162	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
3983941	3984192	332603	332857	252	255	6243218	436181	0.00	0.06	DPSCF300001	Hmel221017
3986255	3986437	335008	335187	183	180	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
3986710	3987011	335390	335670	302	281	6243218	436181	0.00	0.06	DPSCF300001	Hmel221017
3988287	3988472	340015	340200	186	186	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
3992279	3992515	343905	344144	237	240	6243218	436181	0.00	0.06	DPSCF300001	Hmel221017
3997570	3998169	350435	351031	600	597	6243218	436181	0.01	0.14	DPSCF300001	Hmel221017
4003484	4003999	357697	358212	516	516	6243218	436181	0.01	0.12	DPSCF300001	Hmel221017
4003977	4004255	358213	358470	279	258	6243218	436181	0.00	0.06	DPSCF300001	Hmel221017
4004323	4004505	358569	358754	183	186	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
4014759	4016288	369866	371389	1530	1524	6243218	436181	0.02	0.35	DPSCF300001	Hmel221017
4023656	4023853	374949	375149	198	201	6243218	436181	0.00	0.05	DPSCF300001	Hmel221017
4023896	4024009	375203	375316	114	114	6243218	436181	0.00	0.03	DPSCF300001	Hmel221017
4024105	4024351	375870	376101	247	232	6243218	436181	0.00	0.05	DPSCF300001	Hmel221017
4024315	4024602	376423	376674	288	252	6243218	436181	0.00	0.06	DPSCF300001	Hmel221017
4024780	4024998	377386	377604	219	219	6243218	436181	0.00	0.05	DPSCF300001	Hmel221017
4025056	4025322	377989	378255	267	267	6243218	436181	0.00	0.06	DPSCF300001	Hmel221017
4026997	4027149	380086	380238	153	153	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
4027395	4027646	380479	380718	252	240	6243218	436181	0.00	0.06	DPSCF300001	Hmel221017
4027850	4028008	381562	381714	159	153	6243218	436181	0.00	0.04	DPSCF300001	Hmel221017
4028842	4028985	382786	382929	144	144	6243218	436181	0.00	0.03	DPSCF300001	Hmel221017
4050758	4050862	403994	404098	105	105	6243218	436181	0.00	0.02	DPSCF300001	Hmel221017
4086074	4086787	25870	26592	714	723	6243218	154795	0.01	0.47	DPSCF300001	Hmel221019
4087049	4087372	26928	27224	324	297	6243218	154795	0.01	0.19	DPSCF300001	Hmel221019
4088067	4088255	28413	28598	189	186	6243218	154795	0.00	0.12	DPSCF300001	Hmel221019
4088365	4088658	28810	29103	294	294	6243218	154795	0.00	0.19	DPSCF300001	Hmel221019
4090802	4091089	34380	34715	288	336	6243218	154795	0.00	0.22	DPSCF300001	Hmel221019
4091059	4091329	35030	35294	271	265	6243218	154795	0.00	0.17	DPSCF300001	Hmel221019
4108811	4109383	48901	49473	573	573	6243218	154795	0.01	0.37	DPSCF300001	Hmel221019
4124695	4124814	116893	117027	120	135	6243218	154795	0.00	0.09	DPSCF300001	Hmel221019
4127767	4127943	121864	122040	177	177	6243218	154795	0.00	0.11	DPSCF300001	Hmel221019
4128845	4129084	122506	122772	240	267	6243218	154795	0.00	0.17	DPSCF300001	Hmel221019
4131041	4131235	125084	125266	195	183	6243218	154795	0.00	0.12	DPSCF300001	Hmel221019
4131635	4131781	125659	125805	147	147	6243218	154795	0.00	0.09	DPSCF300001	Hmel221019
4136077	4136286	131383	131592	210	210	6243218	154795	0.00	0.14	DPSCF300001	Hmel221019
4141166	4141516	133079	133423	351	345	6243218	154795	0.01	0.22	DPSCF300001	Hmel221019
4145196	4145399	136173	136385	204	213	6243218	154795	0.00	0.14	DPSCF300001	Hmel221019
4145951	4146211	137175	137453	261	279	6243218	154795	0.00	0.18	DPSCF300001	Hmel221019
4146223	4146666	138708	139166	444	459	6243218	154795	0.01	0.30	DPSCF300001	Hmel221019
4146937	4147245	139936	140217	309	282	6243218	154795	0.00	0.18	DPSCF300001	Hmel221019
4147358	4147510	140659	140805	153	147	6243218	154795	0.00	0.09	DPSCF300001	Hmel221019
4148431	4148562	141720	141848	132	129	6243218	154795	0.00	0.08	DPSCF300001	Hmel221019
