NW_004581272	NP_001108405
NW_004581286	NP_001103624
NW_004581293	XP_004921520
NW_004581296	XP_004921521
NW_004581312	XP_004921522
NW_004581317	XP_004921523
NW_004581321	XP_004921524
NW_004581333	XP_004921525
NW_004581348	XP_004921526
NW_004581352	XP_004921527
NW_004581355	XP_004921528
NW_004581363	XP_004921529
NW_004581398	XP_004921530
NW_004581408	NP_001116815
NW_004581430	XP_004921531
NW_004581431	XP_004921532
NW_004581445	XP_004921533
NW_004581447	XP_004921534
NW_004581456	XP_004921535
NW_004581463	NP_001108116
NW_004581491	NP_001121794
NW_004581492	XP_004921536
NW_004581493	XP_004921537
NW_004581503	XP_004921538
NW_004581520	XP_004921539
NW_004581522	XP_004921540
NW_004581531	XP_004921541
NW_004581531	XP_004921542
NW_004581541	XP_004921543
NW_004581551	XP_004921544
NW_004581559	XP_004921545
NW_004581563	XP_004921546
NW_004581577	XP_004921547
NW_004581607	XP_004921548
NW_004581653	XP_004921549
NW_004581660	XP_004921550
NW_004581666	XP_004921551
NW_004581679	NP_001036881
NW_004581679	NP_001036963
NW_004581679	NP_001036969
NW_004581679	NP_001037022
NW_004581679	NP_001037023
NW_004581679	NP_001037034
NW_004581679	NP_001037048
NW_004581679	NP_001037358
NW_004581679	NP_001037610
NW_004581679	NP_001040157
NW_004581679	NP_001040319
NW_004581679	NP_001091799
NW_004581679	NP_001093088
NW_004581679	NP_001116808
NW_004581679	NP_001116809
NW_004581679	NP_001138795
NW_004581679	NP_001138802
NW_004581679	NP_001182396
NW_004581679	NP_001243922
NW_004581679	NP_001243974
NW_004581679	XP_004921552
NW_004581679	XP_004921553
NW_004581679	XP_004921554
NW_004581679	XP_004921555
NW_004581679	XP_004921556
NW_004581679	XP_004921557
NW_004581679	XP_004921558
NW_004581679	XP_004921559
NW_004581679	XP_004921560
NW_004581679	XP_004921561
NW_004581679	XP_004921562
NW_004581679	XP_004921563
NW_004581679	XP_004921564
NW_004581679	XP_004921565
NW_004581679	XP_004921566
NW_004581679	XP_004921567
NW_004581679	XP_004921568
NW_004581679	XP_004921569
NW_004581679	XP_004921570
NW_004581679	XP_004921571
NW_004581679	XP_004921572
NW_004581679	XP_004921573
NW_004581679	XP_004921574
NW_004581679	XP_004921575
NW_004581679	XP_004921576
NW_004581679	XP_004921577
NW_004581679	XP_004921578
NW_004581679	XP_004921579
NW_004581679	XP_004921580
NW_004581679	XP_004921581
NW_004581679	XP_004921582
NW_004581679	XP_004921583
NW_004581679	XP_004921584
NW_004581679	XP_004921585
NW_004581679	XP_004921586
NW_004581679	XP_004921587
NW_004581679	XP_004921588
NW_004581679	XP_004921589
NW_004581679	XP_004921590
NW_004581679	XP_004921591
NW_004581679	XP_004921592
NW_004581679	XP_004921593
NW_004581679	XP_004921594
NW_004581679	XP_004921595
NW_004581679	XP_004921596
NW_004581679	XP_004921597
NW_004581679	XP_004921598
NW_004581679	XP_004921599
NW_004581679	XP_004921600
NW_004581679	XP_004921601
NW_004581679	XP_004921602
NW_004581679	XP_004921603
NW_004581679	XP_004921604
NW_004581679	XP_004921605
NW_004581679	XP_004921606
NW_004581679	XP_004921607
NW_004581679	XP_004921608
NW_004581679	XP_004921609
NW_004581679	XP_004921610
NW_004581679	XP_004921611
NW_004581679	XP_004921612
NW_004581679	XP_004921613
NW_004581679	XP_004921614
NW_004581679	XP_004921615
NW_004581679	XP_004921616
NW_004581679	XP_004921617
NW_004581679	XP_004921618
NW_004581679	XP_004921619
NW_004581679	XP_004921620
NW_004581679	XP_004921621
NW_004581679	XP_004921622
NW_004581679	XP_004921623
NW_004581679	XP_004921624
NW_004581679	XP_004921625
NW_004581679	XP_004921626
NW_004581679	XP_004921627
NW_004581679	XP_004921628
NW_004581679	XP_004921629
NW_004581679	XP_004921630
NW_004581679	XP_004921631
NW_004581679	XP_004921632
NW_004581679	XP_004921633
NW_004581679	XP_004921634
NW_004581679	XP_004921635
NW_004581679	XP_004921636
NW_004581679	XP_004921637
NW_004581679	XP_004921638
NW_004581679	XP_004921639
NW_004581679	XP_004921640
NW_004581679	XP_004921641
NW_004581679	XP_004921642
NW_004581679	XP_004921643
NW_004581679	XP_004921644
NW_004581679	XP_004921645
NW_004581679	XP_004921646
NW_004581679	XP_004921647
NW_004581679	XP_004921648
NW_004581679	XP_004921649
NW_004581679	XP_004921650
NW_004581679	XP_004921651
NW_004581679	XP_004921652
NW_004581679	XP_004921653
NW_004581679	XP_004921654
NW_004581679	XP_004921655
NW_004581679	XP_004921656
NW_004581679	XP_004921657
NW_004581679	XP_004921658
NW_004581679	XP_004921659
NW_004581679	XP_004921660
NW_004581679	XP_004921661
NW_004581679	XP_004921662
NW_004581679	XP_004921663
NW_004581679	XP_004921664
NW_004581679	XP_004921665
NW_004581679	XP_004921666
NW_004581679	XP_004921667
NW_004581679	XP_004921668
NW_004581679	XP_004921669
NW_004581679	XP_004921670
NW_004581679	XP_004921671
NW_004581679	XP_004921672
NW_004581679	XP_004921673
NW_004581679	XP_004921674
NW_004581679	XP_004921675
NW_004581679	XP_004921676
NW_004581679	XP_004921677
NW_004581679	XP_004921678
NW_004581679	XP_004921679
NW_004581679	XP_004921680
NW_004581679	XP_004921681
NW_004581679	XP_004921682
NW_004581679	XP_004921683
NW_004581679	XP_004921684
NW_004581679	XP_004921685
NW_004581679	XP_004921686
NW_004581679	XP_004921687
NW_004581679	XP_004921688
NW_004581679	XP_004921689
NW_004581679	XP_004921690
NW_004581679	XP_004921691
NW_004581679	XP_004921692
NW_004581679	XP_004921693
NW_004581679	XP_004921694
NW_004581679	XP_004921695
NW_004581679	XP_004921696
NW_004581679	XP_004921697
NW_004581679	XP_004921698
NW_004581679	XP_004921699
NW_004581679	XP_004921700
NW_004581679	XP_004921701
NW_004581679	XP_004921702
NW_004581680	NP_001037289
NW_004581680	NP_001037504
NW_004581680	NP_001040121
NW_004581680	NP_001040458
NW_004581680	NP_001091827
NW_004581680	NP_001091845
NW_004581680	NP_001093296
NW_004581680	NP_001108342
NW_004581680	NP_001116821
NW_004581680	NP_001157372
NW_004581680	NP_001186937
NW_004581680	NP_001188365
NW_004581680	NP_001189457
NW_004581680	XP_004921703
NW_004581680	XP_004921704
NW_004581680	XP_004921705
NW_004581680	XP_004921706
NW_004581680	XP_004921707
NW_004581680	XP_004921708
NW_004581680	XP_004921709
NW_004581680	XP_004921710
NW_004581680	XP_004921711
NW_004581680	XP_004921712
NW_004581680	XP_004921713
NW_004581680	XP_004921714
NW_004581680	XP_004921715
NW_004581680	XP_004921716
NW_004581680	XP_004921717
NW_004581680	XP_004921718
NW_004581680	XP_004921719
NW_004581680	XP_004921720
NW_004581680	XP_004921721
NW_004581680	XP_004921722
NW_004581680	XP_004921723
NW_004581680	XP_004921724
NW_004581680	XP_004921725
NW_004581680	XP_004921726
NW_004581680	XP_004921727
NW_004581680	XP_004921728
NW_004581680	XP_004921729
NW_004581680	XP_004921730
NW_004581680	XP_004921731
NW_004581680	XP_004921732
NW_004581680	XP_004921733
NW_004581680	XP_004921734
NW_004581680	XP_004921735
NW_004581680	XP_004921736
NW_004581680	XP_004921737
NW_004581680	XP_004921738
NW_004581680	XP_004921739
NW_004581680	XP_004921740
NW_004581680	XP_004921741
NW_004581680	XP_004921742
NW_004581680	XP_004921743
NW_004581680	XP_004921744
NW_004581680	XP_004921745
NW_004581680	XP_004921746
NW_004581680	XP_004921747
NW_004581680	XP_004921748
NW_004581680	XP_004921749
NW_004581680	XP_004921750
NW_004581680	XP_004921751
NW_004581680	XP_004921752
NW_004581680	XP_004921753
NW_004581680	XP_004921754
NW_004581680	XP_004921755
NW_004581680	XP_004921756
NW_004581680	XP_004921757
NW_004581680	XP_004921758
NW_004581680	XP_004921759
NW_004581680	XP_004921760
NW_004581680	XP_004921761
NW_004581680	XP_004921762
NW_004581680	XP_004921763
NW_004581680	XP_004921764
NW_004581680	XP_004921765
NW_004581680	XP_004921766
NW_004581680	XP_004921767
NW_004581680	XP_004921768
NW_004581680	XP_004921769
NW_004581680	XP_004921770
NW_004581680	XP_004921771
NW_004581680	XP_004921772
NW_004581680	XP_004921773
NW_004581680	XP_004921774
NW_004581680	XP_004921775
NW_004581680	XP_004921776
NW_004581680	XP_004921777
NW_004581680	XP_004921778
NW_004581680	XP_004921779
NW_004581680	XP_004921780
NW_004581680	XP_004921781
NW_004581680	XP_004921782
NW_004581680	XP_004921783
NW_004581681	NP_001036844
NW_004581681	NP_001036871
NW_004581681	NP_001036900
NW_004581681	NP_001036937
NW_004581681	NP_001037010
NW_004581681	NP_001037055
NW_004581681	NP_001037329
NW_004581681	NP_001037418
NW_004581681	NP_001037484
NW_004581681	NP_001040128
NW_004581681	NP_001040171
NW_004581681	NP_001040259
NW_004581681	NP_001040463
NW_004581681	NP_001040487
NW_004581681	NP_001040530
NW_004581681	NP_001091775
NW_004581681	NP_001091787
NW_004581681	NP_001104815
NW_004581681	NP_001104832
NW_004581681	NP_001106733
NW_004581681	NP_001166707
NW_004581681	NP_001171911
NW_004581681	NP_001171912
NW_004581681	NP_001243911
NW_004581681	NP_001243973
NW_004581681	XP_004921784
NW_004581681	XP_004921785
NW_004581681	XP_004921786
NW_004581681	XP_004921787
NW_004581681	XP_004921788
NW_004581681	XP_004921789
NW_004581681	XP_004921790
NW_004581681	XP_004921791
NW_004581681	XP_004921792
NW_004581681	XP_004921793
NW_004581681	XP_004921794
NW_004581681	XP_004921795
NW_004581681	XP_004921796
NW_004581681	XP_004921797
NW_004581681	XP_004921798
NW_004581681	XP_004921799
NW_004581681	XP_004921800
NW_004581681	XP_004921801
NW_004581681	XP_004921802
NW_004581681	XP_004921803
NW_004581681	XP_004921804
NW_004581681	XP_004921805
NW_004581681	XP_004921806
NW_004581681	XP_004921807
NW_004581681	XP_004921808
NW_004581681	XP_004921809
NW_004581681	XP_004921810
NW_004581681	XP_004921811
NW_004581681	XP_004921812
NW_004581681	XP_004921813
NW_004581681	XP_004921814
NW_004581681	XP_004921815
NW_004581681	XP_004921816
NW_004581681	XP_004921817
NW_004581681	XP_004921818
NW_004581681	XP_004921819
NW_004581681	XP_004921820
NW_004581681	XP_004921821
NW_004581681	XP_004921822
NW_004581681	XP_004921823
NW_004581681	XP_004921824
NW_004581681	XP_004921825
NW_004581681	XP_004921826
NW_004581681	XP_004921827
NW_004581681	XP_004921828
NW_004581681	XP_004921829
NW_004581681	XP_004921830
NW_004581681	XP_004921831
NW_004581681	XP_004921832
NW_004581681	XP_004921833
NW_004581681	XP_004921834
NW_004581681	XP_004921835
NW_004581681	XP_004921836
NW_004581681	XP_004921837
NW_004581681	XP_004921838
NW_004581681	XP_004921839
NW_004581681	XP_004921840
NW_004581681	XP_004921841
NW_004581681	XP_004921842
NW_004581681	XP_004921843
NW_004581681	XP_004921844
NW_004581681	XP_004921845
NW_004581681	XP_004921846
NW_004581681	XP_004921847
NW_004581681	XP_004921848
NW_004581681	XP_004921849
NW_004581681	XP_004921850
NW_004581681	XP_004921851
NW_004581681	XP_004921852
NW_004581681	XP_004921853
NW_004581681	XP_004921854
NW_004581681	XP_004921855
NW_004581681	XP_004921856
NW_004581681	XP_004921857
NW_004581681	XP_004921858
NW_004581681	XP_004921859
NW_004581681	XP_004921860
NW_004581681	XP_004921861
NW_004581681	XP_004921862
NW_004581681	XP_004921863
NW_004581681	XP_004921864
NW_004581681	XP_004921865
NW_004581681	XP_004921866
NW_004581681	XP_004921867
NW_004581681	XP_004921868
NW_004581681	XP_004921869
NW_004581681	XP_004921870
NW_004581681	XP_004921871
NW_004581681	XP_004921872
NW_004581681	XP_004921873
NW_004581681	XP_004921874
NW_004581681	XP_004921875
NW_004581681	XP_004921876
NW_004581681	XP_004921877
NW_004581681	XP_004921878
NW_004581681	XP_004921879
NW_004581681	XP_004921880
NW_004581681	XP_004921881
NW_004581681	XP_004921882
NW_004581681	XP_004921883
NW_004581681	XP_004921884
NW_004581681	XP_004921885
NW_004581681	XP_004921886
NW_004581681	XP_004921887
NW_004581681	XP_004921888
NW_004581681	XP_004921889
NW_004581681	XP_004921890
NW_004581681	XP_004921891
NW_004581681	XP_004921892
NW_004581681	XP_004921893
NW_004581681	XP_004921894
NW_004581681	XP_004921895
NW_004581681	XP_004921896
NW_004581681	XP_004921897
NW_004581681	XP_004921898
NW_004581681	XP_004921899
NW_004581681	XP_004921900
NW_004581681	XP_004921901
NW_004581681	XP_004921902
NW_004581681	XP_004921903
NW_004581681	XP_004921904
NW_004581681	XP_004921905
NW_004581681	XP_004921906
NW_004581681	XP_004921907
NW_004581681	XP_004921908
NW_004581681	XP_004921909
NW_004581681	XP_004921910
NW_004581681	XP_004921911
NW_004581681	XP_004921912
NW_004581681	XP_004921913
NW_004581681	XP_004921914
NW_004581681	XP_004921915
NW_004581681	XP_004921916
NW_004581681	XP_004921917
NW_004581681	XP_004921918
NW_004581681	XP_004921919
NW_004581681	XP_004921920
NW_004581681	XP_004921921
NW_004581681	XP_004921922
NW_004581681	XP_004921923
NW_004581681	XP_004921924
NW_004581681	XP_004921925
NW_004581681	XP_004921926
NW_004581681	XP_004921927
NW_004581681	XP_004921928
NW_004581681	XP_004921929
NW_004581681	XP_004921930
NW_004581682	NP_001037458
NW_004581682	NP_001037554
NW_004581682	NP_001037656
NW_004581682	NP_001037683
NW_004581682	NP_001040152
NW_004581682	NP_001040160
NW_004581682	NP_001040309
NW_004581682	NP_001040545
NW_004581682	NP_001091756
NW_004581682	NP_001091777
NW_004581682	NP_001091810
NW_004581682	NP_001119727
NW_004581682	NP_001128388
NW_004581682	NP_001136083
NW_004581682	NP_001153677
NW_004581682	NP_001166686
NW_004581682	NP_001177772
NW_004581682	NP_001233148
NW_004581682	NP_001243921
NW_004581682	NP_001243986
NW_004581682	NP_001243996
NW_004581682	XP_004921931
NW_004581682	XP_004921932
NW_004581682	XP_004921933
NW_004581682	XP_004921934
NW_004581682	XP_004921935
NW_004581682	XP_004921936
NW_004581682	XP_004921937
NW_004581682	XP_004921938
NW_004581682	XP_004921939
NW_004581682	XP_004921940
NW_004581682	XP_004921941
NW_004581682	XP_004921942
NW_004581682	XP_004921943
NW_004581682	XP_004921944
NW_004581682	XP_004921945
NW_004581682	XP_004921946
NW_004581682	XP_004921947
NW_004581682	XP_004921948
NW_004581682	XP_004921949
NW_004581682	XP_004921950
NW_004581682	XP_004921951
NW_004581682	XP_004921952
NW_004581682	XP_004921953
NW_004581682	XP_004921954
NW_004581682	XP_004921955
NW_004581682	XP_004921956
NW_004581682	XP_004921957
NW_004581682	XP_004921958
NW_004581682	XP_004921959
NW_004581682	XP_004921960
NW_004581682	XP_004921961
NW_004581682	XP_004921962
NW_004581682	XP_004921963
NW_004581682	XP_004921964
NW_004581682	XP_004921965
NW_004581682	XP_004921966
NW_004581682	XP_004921967
NW_004581682	XP_004921968
NW_004581682	XP_004921969
NW_004581682	XP_004921970
NW_004581682	XP_004921971
NW_004581682	XP_004921972
NW_004581682	XP_004921973
NW_004581682	XP_004921974
NW_004581682	XP_004921975
NW_004581682	XP_004921976
NW_004581682	XP_004921977
NW_004581682	XP_004921978
NW_004581682	XP_004921979
NW_004581682	XP_004921980
NW_004581682	XP_004921981
NW_004581682	XP_004921982
NW_004581682	XP_004921983
NW_004581682	XP_004921984
NW_004581682	XP_004921985
NW_004581682	XP_004921986
NW_004581682	XP_004921987
NW_004581682	XP_004921988
NW_004581682	XP_004921989
NW_004581682	XP_004921990
NW_004581682	XP_004921991
NW_004581682	XP_004921992
NW_004581682	XP_004921993
NW_004581682	XP_004921994
NW_004581682	XP_004921995
NW_004581682	XP_004921996
NW_004581682	XP_004921997
NW_004581682	XP_004921998
NW_004581682	XP_004921999
NW_004581682	XP_004922000
NW_004581682	XP_004922001
NW_004581682	XP_004922002
NW_004581682	XP_004922003
NW_004581682	XP_004922004
NW_004581682	XP_004922005
NW_004581682	XP_004922006
NW_004581682	XP_004922007
NW_004581682	XP_004922008
NW_004581682	XP_004922009
NW_004581682	XP_004922010
NW_004581682	XP_004922011
NW_004581682	XP_004922012
NW_004581682	XP_004922013
NW_004581682	XP_004922014
NW_004581682	XP_004922015
NW_004581682	XP_004922016
NW_004581682	XP_004922017
NW_004581682	XP_004922018
NW_004581682	XP_004922019
NW_004581682	XP_004922020
NW_004581682	XP_004922021
NW_004581682	XP_004922022
NW_004581682	XP_004922023
NW_004581682	XP_004922024
NW_004581682	XP_004922025
NW_004581682	XP_004922026
NW_004581682	XP_004922027
NW_004581682	XP_004922028
NW_004581682	XP_004922029
NW_004581682	XP_004922030
NW_004581682	XP_004922031
NW_004581682	XP_004922032
NW_004581682	XP_004922033
NW_004581682	XP_004922034
NW_004581682	XP_004922035
NW_004581682	XP_004922036
NW_004581682	XP_004922037
NW_004581682	XP_004922038
NW_004581682	XP_004922039
NW_004581682	XP_004922040
NW_004581682	XP_004922041
NW_004581682	XP_004922042
NW_004581682	XP_004922043
NW_004581682	XP_004922044
NW_004581682	XP_004922045
NW_004581682	XP_004922046
NW_004581682	XP_004922047
NW_004581682	XP_004922048
NW_004581682	XP_004922049
NW_004581682	XP_004922050
NW_004581682	XP_004922051
NW_004581682	XP_004922052
NW_004581682	XP_004922053
NW_004581682	XP_004922054
NW_004581682	XP_004922055
NW_004581682	XP_004922056
NW_004581682	XP_004922057
NW_004581682	XP_004922058
NW_004581682	XP_004922059
NW_004581682	XP_004922060
NW_004581682	XP_004922061
NW_004581682	XP_004922062
NW_004581682	XP_004922063
NW_004581682	XP_004922064
NW_004581682	XP_004922065
NW_004581682	XP_004922066
NW_004581683	NP_001036899
NW_004581683	NP_001037420
NW_004581683	NP_001037500
NW_004581683	NP_001040261
NW_004581683	NP_001040304
NW_004581683	NP_001091748
NW_004581683	NP_001091813
NW_004581683	NP_001091828
NW_004581683	NP_001108459
NW_004581683	NP_001127741
NW_004581683	NP_001165395
NW_004581683	NP_001165396
NW_004581683	NP_001165737
NW_004581683	NP_001166837
NW_004581683	NP_001166895
NW_004581683	NP_001171666
NW_004581683	NP_001191410
NW_004581683	XP_004922067
NW_004581683	XP_004922068
NW_004581683	XP_004922069
NW_004581683	XP_004922070
NW_004581683	XP_004922071
NW_004581683	XP_004922072
NW_004581683	XP_004922073
NW_004581683	XP_004922074
NW_004581683	XP_004922075
NW_004581683	XP_004922076
NW_004581683	XP_004922077
NW_004581683	XP_004922078
NW_004581683	XP_004922079
NW_004581683	XP_004922080
NW_004581683	XP_004922081
NW_004581683	XP_004922082
NW_004581683	XP_004922083
NW_004581683	XP_004922084
NW_004581683	XP_004922085
NW_004581683	XP_004922086
NW_004581683	XP_004922087
NW_004581683	XP_004922088
NW_004581683	XP_004922089
NW_004581683	XP_004922090
NW_004581683	XP_004922091
NW_004581683	XP_004922092
NW_004581683	XP_004922093
NW_004581683	XP_004922094
NW_004581683	XP_004922095
NW_004581683	XP_004922096
NW_004581683	XP_004922097
NW_004581683	XP_004922098
NW_004581683	XP_004922099
NW_004581683	XP_004922100
NW_004581683	XP_004922101
NW_004581683	XP_004922102
NW_004581683	XP_004922103
NW_004581683	XP_004922104
NW_004581683	XP_004922105
NW_004581683	XP_004922106
NW_004581683	XP_004922107
NW_004581683	XP_004922108
NW_004581683	XP_004922109
NW_004581683	XP_004922110
NW_004581683	XP_004922111
NW_004581683	XP_004922112
NW_004581683	XP_004922113
NW_004581683	XP_004922114
NW_004581683	XP_004922115
NW_004581683	XP_004922116
NW_004581683	XP_004922117
NW_004581683	XP_004922118
NW_004581683	XP_004922119
NW_004581683	XP_004922120
NW_004581683	XP_004922121
NW_004581683	XP_004922122
NW_004581683	XP_004922123
NW_004581683	XP_004922124
NW_004581683	XP_004922125
NW_004581683	XP_004922126
NW_004581683	XP_004922127
NW_004581683	XP_004922128
NW_004581683	XP_004922129
NW_004581683	XP_004922130
NW_004581683	XP_004922131
NW_004581683	XP_004922132
NW_004581683	XP_004922133
NW_004581683	XP_004922134
NW_004581683	XP_004922135
NW_004581683	XP_004922136
NW_004581683	XP_004922137
NW_004581683	XP_004922138
NW_004581683	XP_004922139
NW_004581683	XP_004922140
NW_004581683	XP_004922141
NW_004581683	XP_004922142
NW_004581683	XP_004922143
NW_004581684	NP_001037129
NW_004581684	NP_001037321
NW_004581684	NP_001037424
NW_004581684	NP_001037626
NW_004581684	NP_001040354
NW_004581684	NP_001040499
NW_004581684	NP_001040521
NW_004581684	NP_001104833
NW_004581684	NP_001127733
NW_004581684	NP_001157388
NW_004581684	XP_004922144
NW_004581684	XP_004922145
NW_004581684	XP_004922146
NW_004581684	XP_004922147
NW_004581684	XP_004922148
NW_004581684	XP_004922149
NW_004581684	XP_004922150
NW_004581684	XP_004922151
NW_004581684	XP_004922152
NW_004581684	XP_004922153
NW_004581684	XP_004922154
NW_004581684	XP_004922155
NW_004581684	XP_004922156
NW_004581684	XP_004922157
NW_004581684	XP_004922158
NW_004581684	XP_004922159
NW_004581684	XP_004922160
NW_004581684	XP_004922161
NW_004581684	XP_004922162
NW_004581684	XP_004922163
NW_004581684	XP_004922164
NW_004581684	XP_004922165
NW_004581684	XP_004922166
NW_004581684	XP_004922167
NW_004581684	XP_004922168
NW_004581684	XP_004922169
NW_004581684	XP_004922170
NW_004581684	XP_004922171
NW_004581684	XP_004922172
