# Species	Genes	Alg.-Conn.	bombyx_refseq_proteins_accession.fa	Dp_OGS2_prots.fas
2	2	1	NP_001036780.1	DPOGS206861
2	2	1	NP_001036824.1	DPOGS213105
2	2	1	NP_001036825.1	DPOGS205849
2	5	0.2	NP_001036826.1,XP_004927691.1,XP_004927690.1,XP_004923933.1	DPOGS205336
2	2	1	NP_001036827.1	DPOGS204934
2	2	1	NP_001036829.2	DPOGS214525
2	2	1	NP_001036830.1	DPOGS212029
2	2	1	NP_001036831.1	DPOGS200483
2	2	1	NP_001036833.1	DPOGS200256
2	2	1	NP_001036834.1	DPOGS209792
2	6	0.128	NP_001036835.1,NP_001166743.1	DPOGS210226,DPOGS210225,DPOGS210224,DPOGS210223
2	2	1	NP_001036836.1	DPOGS209814
2	2	1	NP_001036837.1	DPOGS208844
2	2	1	NP_001036838.1	DPOGS215909
2	2	1	NP_001036840.1	DPOGS212964
2	4	0.25	NP_001036841.1,NP_001106137.1,NP_001106136.1	DPOGS200952
2	2	1	NP_001036843.1	DPOGS210848
2	2	1	NP_001036844.1	DPOGS204147
2	2	1	NP_001036845.1	DPOGS216016
2	2	1	NP_001036846.1	DPOGS203907
2	2	1	NP_001036847.1	DPOGS207191
2	2	1	NP_001036848.1	DPOGS207638
2	2	1	NP_001036850.1	DPOGS209245
2	2	1	NP_001036852.1	DPOGS203501
2	2	1	NP_001036853.1	DPOGS203816
2	5	0.2	NP_001036854.1,NP_001166664.1,NP_001166663.1,NP_001036855.1	DPOGS215880
2	4	0.25	NP_001036856.2,XP_004926653.1,NP_001037536.3	DPOGS215263
2	2	1	NP_001036857.1	DPOGS210152
2	2	1	NP_001036859.1	DPOGS205558
2	2	1	NP_001036860.1	DPOGS207310
2	3	0.333	NP_001036862.1,NP_001166667.1	DPOGS215887
2	2	1	NP_001036864.1	DPOGS215902
2	2	1	NP_001036870.1	DPOGS207365
2	2	1	NP_001036871.1	DPOGS204182
2	2	1	NP_001036872.1	DPOGS202697
2	2	1	NP_001036873.1	DPOGS206518
2	2	1	NP_001036876.1	DPOGS213899
2	2	1	NP_001036878.1	DPOGS210032
2	2	1	NP_001036879.1	DPOGS210211
2	2	1	NP_001036881.1	DPOGS202128
2	3	0.333	NP_001036882.1,XP_004928488.1	DPOGS208077
2	2	1	NP_001036884.1	DPOGS214479
2	2	1	NP_001036886.1	DPOGS211429
2	4	0.146	NP_001036887.1,NP_001036964.1	DPOGS213385,DPOGS213386
2	2	1	NP_001036888.1	DPOGS213388
2	2	1	NP_001036889.1	DPOGS207504
2	2	1	NP_001036890.1	DPOGS204635
2	3	0.333	NP_001036891.1	DPOGS215189,DPOGS215188
2	2	1	NP_001036892.1	DPOGS210250
2	2	1	NP_001036893.1	DPOGS204732
2	2	1	NP_001036895.2	DPOGS214717
2	2	1	NP_001036896.1	DPOGS202775
2	2	1	NP_001036897.1	DPOGS209686
2	2	1	NP_001036899.1	DPOGS215547
2	2	1	NP_001036900.1	DPOGS214635
2	2	1	NP_001036901.1	DPOGS214058
2	2	1	NP_001036902.1	DPOGS201136
2	2	1	NP_001036904.1	DPOGS215240
2	3	0.333	NP_001036905.1,NP_001104802.1	DPOGS201499
2	2	1	NP_001036909.1	DPOGS211038
2	2	1	NP_001036910.1	DPOGS213645
2	2	1	NP_001036911.1	DPOGS200951
2	2	1	NP_001036912.1	DPOGS209670
2	2	1	NP_001036913.1	DPOGS213662
2	2	1	NP_001036914.1	DPOGS200588
2	3	0.333	NP_001036916.1,NP_001166852.1	DPOGS211768
2	2	1	NP_001036917.1	DPOGS204627
2	2	1	NP_001036918.1	DPOGS208707
2	2	1	NP_001036919.1	DPOGS213057
