scaffold	chromosome	bin	centimorgan
scaffold2169	12	9	66.67
scaffold687	6	4	25.00
scaffold1057	17	3	16.67
scaffold1119	6	4	25.00
scaffold2143	13	NA	NA
scaffold4051	9	4	25.00
scaffold324	11	NA	NA
scaffold708	21	4	25.00
scaffold2657	23	8	58.33
scaffold1944	21	NA	NA
scaffold951	5	1	0.00
scaffold4737	20	9	66.67
scaffold1879	16	7	50.00
scaffold607	2	NA	NA
scaffold2631	2	NA	NA
scaffold2070	6	1	0.00
scaffold721	10	2	8.33
scaffold2857	19	1	0.00
scaffold1082	10	2	8.33
scaffold572	25	3	16.67
scaffold1786	1	NA	NA
scaffold395	23	2	8.33
scaffold3543	30	2	8.33
scaffold3573	19	1	0.00
scaffold528	11	5	33.33
scaffold3348	1	5	33.33
scaffold3526	7	1	0.00
scaffold134	7	3	16.67
scaffold1603	28	4	25.00
scaffold5114	22	3	16.67
scaffold920	8	5	33.33
scaffold515	25	4	25.00
scaffold2321	22	NA	NA
scaffold3105	26	NA	NA
scaffold1102	11	7	50.00
scaffold2254	17	NA	NA
scaffold2678	2	8	58.33
scaffold1389	26	4	25.00
scaffold7966	12	7	50.00
scaffold2819	11	7	50.00
scaffold769	2	8	58.33
scaffold746	14	7	50.00
scaffold2558	9	5	33.33
scaffold2352	15	2	8.33
scaffold2308	1	6	41.67
scaffold700	22	7	50.00
scaffold3664	7	1	0.00
scaffold2358	21	2	8.33
scaffold5864	31	3	16.67
scaffold767	22	9	66.67
scaffold4108	10	NA	NA
scaffold4087	31	2	8.33
scaffold90	3	4	25.00
scaffold4529	24	NA	NA
scaffold2024	7	7	50.00
scaffold2611	26	4	25.00
scaffold2430	3	4	25.00
scaffold23	1	3	16.67
scaffold947	31	4	25.00
scaffold11063	15	NA	NA
scaffold10995	2	7	50.00
scaffold2905	1	NA	NA
scaffold942	10	4	25.00
scaffold449	28	NA	NA
scaffold4182	5	2	8.33
scaffold2002	18	3	16.67
scaffold549	10	2	8.33
scaffold5391	14	2	8.33
scaffold3312	28	NA	NA
scaffold2772	9	8	58.33
scaffold2125	10	NA	NA
scaffold3201	26	8	58.33
scaffold2877	7	NA	NA
scaffold1797	10	4	25.00
scaffold5150	27	NA	NA
scaffold3126	20	1	0.00
scaffold3088	2	9	66.67
scaffold1595	8	NA	NA
scaffold3695	30	6	41.67
scaffold1616	10	2	8.33
scaffold2964	10	4	25.00
scaffold3378	25	NA	NA
scaffold8216	19	6	41.67
scaffold1443	30	NA	NA
scaffold335	2	9	66.67
scaffold1446	24	6	41.67
scaffold2014	19	1	0.00
scaffold1288	9	4	25.00
scaffold10363	1	3	16.67
scaffold2835	2	2	8.33
scaffold1673	27	3	16.67
scaffold652	7	NA	NA
scaffold1867	5	NA	NA
scaffold7865	1	3	16.67
scaffold5296	15	6	41.67
scaffold10472	1	NA	NA
scaffold5518	4	NA	NA
scaffold3456	23	NA	NA
scaffold1888	17	1	0.00
scaffold1103	15	4	25.00
scaffold159	12	7	50.00
scaffold6918	31	NA	NA
scaffold1779	1	3	16.67
scaffold3068	19	1	0.00
scaffold3701	1	NA	NA
scaffold1303	3	2	8.33
scaffold877	23	6	41.67
scaffold3810	5	2	8.33
scaffold7749	28	1	0.00
scaffold2646	7	1	0.00
scaffold3118	27	1	0.00
scaffold3080	1	3	16.67
scaffold7518	15	5	33.33
scaffold66	2	8	58.33
scaffold57	14	4	25.00
scaffold2268	7	6	41.67
scaffold1090	10	2	8.33
scaffold3508	4	6	41.67
scaffold4538	2	6	41.67
scaffold6381	1	NA	NA
scaffold1085	5	1	0.00
scaffold5074	8	NA	NA
scaffold2387	28	4	25.00
scaffold985	2	8	58.33
scaffold2331	20	4	25.00
scaffold301	3	8	58.33
scaffold2184	5	4	25.00
scaffold7728	6	5	33.33
scaffold3133	5	3	16.67
scaffold2892	5	2	8.33
scaffold2114	4	NA	NA
scaffold2097	21	4	25.00
scaffold17	19	1	0.00
scaffold5039	12	9	66.67
scaffold2755	4	6	41.67
scaffold1386	16	NA	NA
scaffold2342	6	NA	NA
scaffold3062	21	4	25.00
scaffold7450	26	3	16.67
scaffold4771	3	9	66.67
scaffold2313	24	9	66.67
scaffold5238	17	NA	NA
scaffold5204	20	6	41.67
scaffold2120	24	1	0.00
scaffold1224	7	4	25.00
scaffold1347	20	3	16.67
scaffold3402	11	7	50.00
scaffold6988	27	3	16.67
scaffold1521	7	5	33.33
scaffold2027	17	1	0.00
scaffold4776	1	3	16.67
scaffold2235	22	1	0.00
scaffold1269	9	8	58.33
scaffold2106	12	7	50.00
scaffold5868	1	NA	NA
scaffold1893	29	2	8.33
scaffold8265	2	9	66.67
scaffold7650	28	NA	NA
scaffold1194	14	4	25.00
scaffold2705	10	4	25.00
scaffold2204	9	3	16.67
scaffold4957	9	NA	NA
scaffold4267	24	NA	NA
scaffold3204	12	7	50.00
scaffold3039	24	6	41.67
scaffold1984	5	4	25.00
scaffold4671	28	5	33.33
scaffold83	24	NA	NA
scaffold5073	20	3	16.67
scaffold2833	2	10	75.00
scaffold619	19	NA	NA
scaffold5401	11	7	50.00
scaffold2921	14	4	25.00
scaffold2844	7	3	16.67
scaffold2053	12	NA	NA
scaffold50	6	3	16.67
scaffold1942	15	1	0.00
scaffold412	18	1	0.00
scaffold574	5	4	25.00
scaffold1971	25	3	16.67
scaffold2473	12	2	8.33
scaffold2918	6	NA	NA
scaffold1076	14	4	25.00
scaffold990	12	8	58.33
scaffold4319	14	7	50.00
scaffold4533	6	4	25.00
scaffold7415	29	2	8.33
scaffold2791	7	3	16.67
scaffold2902	18	4	25.00
scaffold4678	4	NA	NA
scaffold5824	1	3	16.67
scaffold8031	20	NA	NA
scaffold73	7	3	16.67
scaffold749	31	1	0.00
scaffold1364	18	4	25.00
scaffold646	16	4	25.00
scaffold1	30	1	0.00
scaffold2809	10	4	25.00
scaffold811	9	NA	NA
scaffold2546	24	NA	NA
scaffold7412	10	2	8.33
scaffold3692	4	2	8.33
scaffold1703	2	NA	NA
scaffold1907	11	1	0.00
scaffold1485	31	NA	NA
scaffold4044	15	4	25.00
scaffold6559	3	2	8.33
scaffold9737	23	8	58.33
scaffold200	21	4	25.00
scaffold160	13	3	16.67
scaffold1606	5	1	0.00
scaffold6468	23	1	0.00
scaffold5305	15	6	41.67
scaffold2550	20	4	25.00
scaffold123	3	4	25.00
scaffold221	21	4	25.00
scaffold1528	7	7	50.00
scaffold2813	4	NA	NA
scaffold5852	16	4	25.00
scaffold1702	21	4	25.00
scaffold5672	4	6	41.67
scaffold421	3	4	25.00
scaffold3783	30	6	41.67
scaffold7713	22	2	8.33
scaffold5468	22	4	25.00
scaffold262	12	7	50.00
scaffold1356	10	2	8.33
scaffold274	16	NA	NA
