scaff.tar	gene.tar	chr.tar
DPSCF300001	DPOGS206773	16
DPSCF300001	DPOGS206874	16
DPSCF300001	DPOGS206790	16
DPSCF300001	DPOGS206896	16
DPSCF300001	DPOGS206934	16
DPSCF300001	DPOGS206791	16
DPSCF300001	DPOGS206775	16
DPSCF300001	DPOGS206994	16
DPSCF300001	DPOGS206910	16
DPSCF300001	DPOGS206911	16
DPSCF300001	DPOGS206792	16
DPSCF300001	DPOGS206789	16
DPSCF300001	DPOGS207033	16
DPSCF300001	DPOGS206875	16
DPSCF300001	DPOGS206912	16
DPSCF300001	DPOGS206872	16
DPSCF300001	DPOGS206895	16
DPSCF300001	DPOGS206932	16
DPSCF300001	DPOGS206855	16
DPSCF300001	DPOGS206897	16
DPSCF300001	DPOGS206776	16
DPSCF300001	DPOGS206935	16
DPSCF300001	DPOGS206928	16
DPSCF300001	DPOGS206995	16
DPSCF300001	DPOGS206770	16
DPSCF300001	DPOGS207006	16
DPSCF300001	DPOGS206879	16
DPSCF300001	DPOGS206771	16
DPSCF300001	DPOGS206774	16
DPSCF300001	DPOGS207095	16
DPSCF300001	DPOGS206788	16
DPSCF300001	DPOGS206827	16
DPSCF300001	DPOGS207031	16
DPSCF300001	DPOGS207032	16
DPSCF300001	DPOGS206816	16
DPSCF300001	DPOGS206913	16
DPSCF300001	DPOGS207048	16
DPSCF300001	DPOGS206931	16
DPSCF300001	DPOGS206892	16
DPSCF300001	DPOGS207052	16
DPSCF300001	DPOGS206974	16
DPSCF300001	DPOGS207055	16
DPSCF300001	DPOGS206881	16
DPSCF300001	DPOGS207136	16
DPSCF300001	DPOGS206894	16
DPSCF300001	DPOGS207138	16
DPSCF300001	DPOGS207139	16
DPSCF300001	DPOGS206870	16
DPSCF300001	DPOGS206871	16
DPSCF300001	DPOGS206993	16
DPSCF300001	DPOGS206914	16
DPSCF300001	DPOGS206851	16
DPSCF300001	DPOGS206767	16
DPSCF300001	DPOGS207093	16
DPSCF300001	DPOGS206893	16
DPSCF300001	DPOGS207135	16
DPSCF300001	DPOGS207001	16
DPSCF300001	DPOGS206908	16
DPSCF300001	DPOGS207029	16
DPSCF300001	DPOGS206869	16
DPSCF300001	DPOGS206925	16
DPSCF300001	DPOGS207046	16
DPSCF300001	DPOGS207127	16
DPSCF300001	DPOGS207170	16
DPSCF300001	DPOGS206850	16
DPSCF300001	DPOGS206876	16
DPSCF300001	DPOGS206878	16
DPSCF300001	DPOGS206880	16
DPSCF300001	DPOGS207000	16
DPSCF300001	DPOGS207053	16
DPSCF300001	DPOGS207002	16
DPSCF300001	DPOGS207179	16
DPSCF300001	DPOGS207056	16
DPSCF300001	DPOGS207057	16
DPSCF300001	DPOGS207140	16
DPSCF300001	DPOGS206898	16
DPSCF300001	DPOGS206899	16
DPSCF300001	DPOGS206996	16
DPSCF300001	DPOGS206849	16
DPSCF300001	DPOGS207092	16
DPSCF300001	DPOGS206768	16
DPSCF300001	DPOGS207176	16
DPSCF300001	DPOGS206906	16
DPSCF300001	DPOGS207054	16
DPSCF300001	DPOGS207028	16
DPSCF300001	DPOGS206826	16
DPSCF300001	DPOGS206909	16
DPSCF300001	DPOGS206787	16
DPSCF300001	DPOGS207154	16
DPSCF300001	DPOGS207155	16
DPSCF300001	DPOGS207115	16
DPSCF300001	DPOGS206915	16
DPSCF300001	DPOGS206970	16
DPSCF300001	DPOGS207119	16
DPSCF300001	DPOGS206784	16
DPSCF300001	DPOGS207120	16
DPSCF300001	DPOGS207121	16
DPSCF300001	DPOGS207122	16
DPSCF300001	DPOGS207003	16
DPSCF300001	DPOGS206841	16
DPSCF300001	DPOGS207005	16
DPSCF300001	DPOGS207126	16
DPSCF300001	DPOGS206802	16
DPSCF300001	DPOGS206966	16
DPSCF300001	DPOGS207049	16
DPSCF300001	DPOGS207117	16
DPSCF300001	DPOGS206890	16
DPSCF300001	DPOGS206917	16
DPSCF300001	DPOGS207221	16
DPSCF300001	DPOGS207222	16
DPSCF300001	DPOGS206972	16
DPSCF300001	DPOGS206973	16
DPSCF300001	DPOGS206975	16
DPSCF300001	DPOGS206854	16
DPSCF300001	DPOGS206856	16
DPSCF300001	DPOGS206815	16
DPSCF300001	DPOGS207185	16
DPSCF300001	DPOGS207143	16
DPSCF300001	DPOGS207173	16
DPSCF300001	DPOGS207174	16
DPSCF300001	DPOGS206930	16
DPSCF300001	DPOGS206905	16
DPSCF300001	DPOGS206865	16
DPSCF300001	DPOGS206907	16
DPSCF300001	DPOGS206825	16
DPSCF300001	DPOGS206985	16
DPSCF300001	DPOGS207196	16
DPSCF300001	DPOGS206867	16
DPSCF300001	DPOGS206868	16
DPSCF300001	DPOGS207113	16
DPSCF300001	DPOGS207156	16
DPSCF300001	DPOGS207116	16
DPSCF300001	DPOGS206862	16
DPSCF300001	DPOGS206877	16
DPSCF300001	DPOGS206835	16
DPSCF300001	DPOGS206997	16
DPSCF300001	DPOGS206998	16
DPSCF300001	DPOGS206920	16
DPSCF300001	DPOGS207123	16
DPSCF300001	DPOGS207124	16
DPSCF300001	DPOGS206842	16
DPSCF300001	DPOGS206964	16
DPSCF300001	DPOGS206883	16
DPSCF300001	DPOGS206884	16
DPSCF300001	DPOGS207171	16
DPSCF300001	DPOGS207158	16
DPSCF300001	DPOGS206848	16
DPSCF300001	DPOGS207091	16
DPSCF300001	DPOGS206766	16
DPSCF300001	DPOGS206891	16
DPSCF300001	DPOGS207011	16
DPSCF300001	DPOGS207012	16
DPSCF300001	DPOGS207137	16
DPSCF300001	DPOGS207014	16
DPSCF300001	DPOGS207015	16
DPSCF300001	DPOGS206857	16
DPSCF300001	DPOGS207141	16
DPSCF300001	DPOGS207142	16
DPSCF300001	DPOGS206847	16
DPSCF300001	DPOGS206779	16
DPSCF300001	DPOGS206861	16
DPSCF300001	DPOGS206822	16
DPSCF300001	DPOGS206782	16
DPSCF300001	DPOGS206783	16
DPSCF300001	DPOGS206904	16
DPSCF300001	DPOGS207150	16
DPSCF300001	DPOGS207027	16
DPSCF300001	DPOGS206785	16
DPSCF300001	DPOGS207030	16
DPSCF300001	DPOGS207153	16
DPSCF300001	DPOGS206992	16
DPSCF300001	DPOGS207157	16
